Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Art Practice,198,1,Clg of Letters & Science,ls environmental economics and policy
1,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,ls environmental economics and policy
2,2017 Spring,2,Business Admin-Undergrad,102A,1,Haas School of Business,ls environmental economics and policy
3,2017 Spring,1,Business Admin-Undergrad,C172,1,Haas School of Business,ls environmental economics and policy
4,2017 Spring,1,Civil & Environmental Eng,88B,1,Clg of Engineering,ls environmental economics and policy
5,2017 Spring,1,College Writing Programs,25AC,1,Clg of Letters & Science,ls environmental economics and policy
6,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,ls environmental economics and policy
7,2017 Spring,1,Computer Science,198,75,Clg of Engineering,ls environmental economics and policy
8,2017 Spring,1,Earth & Planetary Science,130,1,Clg of Letters & Science,ls environmental economics and policy
9,2017 Spring,1,Economics,C125,1,Clg of Letters & Science,ls environmental economics and policy
10,2017 Spring,1,Economics,133,1,Clg of Letters & Science,ls environmental economics and policy
11,2017 Spring,1,Economics,136,1,Clg of Letters & Science,ls environmental economics and policy
12,2017 Spring,2,Economics,151,1,Clg of Letters & Science,ls environmental economics and policy
13,2017 Spring,4,Environ Econ & Policy,C101,1,Clg of Natural Resources,ls environmental economics and policy
14,2017 Spring,4,Environ Econ & Policy,C118,1,Clg of Natural Resources,ls environmental economics and policy
15,2017 Spring,7,Environ Econ & Policy,143,1,Clg of Natural Resources,ls environmental economics and policy
16,2017 Spring,2,Environ Econ & Policy,147,1,Clg of Natural Resources,ls environmental economics and policy
17,2017 Spring,5,Environ Econ & Policy,162,1,Clg of Natural Resources,ls environmental economics and policy
18,2017 Spring,1,Environ Econ & Policy,C181,1,Clg of Natural Resources,ls environmental economics and policy
19,2017 Spring,1,Geography,187,1,Clg of Letters & Science,ls environmental economics and policy
20,2017 Spring,1,History,7B,1,Clg of Letters & Science,ls environmental economics and policy
21,2017 Spring,1,History,100U,1,Clg of Letters & Science,ls environmental economics and policy
22,2017 Spring,1,History,106B,1,Clg of Letters & Science,ls environmental economics and policy
23,2017 Spring,1,History,160,1,Clg of Letters & Science,ls environmental economics and policy
24,2017 Spring,1,Legal Studies,105,1,School of Law,ls environmental economics and policy
25,2017 Spring,1,Legal Studies,154,1,School of Law,ls environmental economics and policy
26,2017 Spring,1,Legal Studies,177,1,School of Law,ls environmental economics and policy
27,2017 Spring,1,Letters & Science,C30V,1,Clg of Letters & Science,ls environmental economics and policy
28,2017 Spring,1,Philosophy,2,1,Clg of Letters & Science,ls environmental economics and policy
29,2017 Spring,1,Physical Education,3,4,Clg of Letters & Science,ls environmental economics and policy
30,2017 Spring,1,Political Science,179,1,Clg of Letters & Science,ls environmental economics and policy
31,2017 Spring,1,Public Health,198,54,School of Public Health,ls environmental economics and policy
32,2017 Spring,1,Rhetoric,103B,1,Clg of Letters & Science,ls environmental economics and policy
33,2017 Spring,1,Rhetoric,168,1,Clg of Letters & Science,ls environmental economics and policy
34,2017 Spring,1,Sociology,114,1,Clg of Letters & Science,ls environmental economics and policy
35,2017 Spring,1,Sociology,120,1,Clg of Letters & Science,ls environmental economics and policy
36,2017 Spring,1,Sociology,137AC,1,Clg of Letters & Science,ls environmental economics and policy
37,2017 Spring,1,Sociology,C167,1,Clg of Letters & Science,ls environmental economics and policy
38,2017 Spring,1,Sociology,198BC,1,Clg of Letters & Science,ls environmental economics and policy
39,2017 Spring,1,Statistics,198,2,Clg of Letters & Science,ls environmental economics and policy
