Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,6,Aerospace Studies,1B,1,Clg of Letters & Science,ls undeclared
1,2017 Spring,4,Aerospace Studies,2B,1,Clg of Letters & Science,ls undeclared
2,2017 Spring,1,Aerospace Studies,100,1,Clg of Letters & Science,ls undeclared
3,2017 Spring,14,African American Studies,R1A,1,Clg of Letters & Science,ls undeclared
4,2017 Spring,15,African American Studies,R1B,1,Clg of Letters & Science,ls undeclared
5,2017 Spring,45,African American Studies,5B,1,Clg of Letters & Science,ls undeclared
6,2017 Spring,6,African American Studies,11B,1,Clg of Letters & Science,ls undeclared
7,2017 Spring,3,African American Studies,15B,1,Clg of Letters & Science,ls undeclared
8,2017 Spring,13,African American Studies,24,1,Clg of Letters & Science,ls undeclared
9,2017 Spring,13,African American Studies,24,2,Clg of Letters & Science,ls undeclared
10,2017 Spring,16,African American Studies,24,3,Clg of Letters & Science,ls undeclared
11,2017 Spring,36,African American Studies,28AC,1,Clg of Letters & Science,ls undeclared
12,2017 Spring,6,African American Studies,98BC,1,Clg of Letters & Science,ls undeclared
13,2017 Spring,2,African American Studies,98BC,2,Clg of Letters & Science,ls undeclared
14,2017 Spring,1,African American Studies,101,1,Clg of Letters & Science,ls undeclared
15,2017 Spring,13,African American Studies,115,1,Clg of Letters & Science,ls undeclared
16,2017 Spring,18,African American Studies,117,1,Clg of Letters & Science,ls undeclared
17,2017 Spring,3,African American Studies,118,1,Clg of Letters & Science,ls undeclared
18,2017 Spring,5,African American Studies,120,1,Clg of Letters & Science,ls undeclared
19,2017 Spring,4,African American Studies,131,1,Clg of Letters & Science,ls undeclared
20,2017 Spring,3,African American Studies,139,2,Clg of Letters & Science,ls undeclared
21,2017 Spring,52,African American Studies,142AC,1,Clg of Letters & Science,ls undeclared
22,2017 Spring,8,African American Studies,C156,1,Clg of Letters & Science,ls undeclared
