Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,marine science
1,2017 Spring,1,Astronomy,7B,1,Clg of Letters & Science,marine science
2,2017 Spring,1,Astronomy,198,1,Clg of Letters & Science,marine science
3,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,marine science
4,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,marine science
5,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,marine science
6,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,marine science
7,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,marine science
8,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,marine science
9,2017 Spring,1,Earth & Planetary Science,100B,1,Clg of Letters & Science,marine science
10,2017 Spring,9,Earth & Planetary Science,102,1,Clg of Letters & Science,marine science
11,2017 Spring,11,Earth & Planetary Science,103,1,Clg of Letters & Science,marine science
12,2017 Spring,1,Earth & Planetary Science,124,1,Clg of Letters & Science,marine science
13,2017 Spring,7,Earth & Planetary Science,150,1,Clg of Letters & Science,marine science
14,2017 Spring,1,Education,190AC,2,Grad School of Education,marine science
15,2017 Spring,2,Energy and Resources,102,1,Clg of Natural Resources,marine science
16,2017 Spring,1,"Env Sci, Policy, & Mgmt",114,1,Clg of Natural Resources,marine science
17,2017 Spring,1,"Env Sci, Policy, & Mgmt",175B,2,Clg of Natural Resources,marine science
18,2017 Spring,1,"Env Sci, Policy, & Mgmt",175L,2,Clg of Natural Resources,marine science
19,2017 Spring,1,Ethnic Studies,198,2,Clg of Letters & Science,marine science
20,2017 Spring,1,Geography,187,1,Clg of Letters & Science,marine science
21,2017 Spring,1,History,106B,1,Clg of Letters & Science,marine science
22,2017 Spring,1,History,125B,1,Clg of Letters & Science,marine science
23,2017 Spring,1,History of Art,R1B,8,Clg of Letters & Science,marine science
24,2017 Spring,2,Integrative Biology,113L,1,Clg of Letters & Science,marine science
25,2017 Spring,1,Integrative Biology,174LF,1,Clg of Letters & Science,marine science
26,2017 Spring,3,Integrative Biology,C176L,1,Clg of Letters & Science,marine science
27,2017 Spring,1,Integrative Biology,198,2,Clg of Letters & Science,marine science
28,2017 Spring,1,Japanese,188,1,Clg of Letters & Science,marine science
29,2017 Spring,2,Physics,8B,1,Clg of Letters & Science,marine science
30,2017 Spring,1,Portuguese,104,1,Clg of Letters & Science,marine science
31,2017 Spring,1,Portuguese,113,1,Clg of Letters & Science,marine science
32,2017 Spring,1,Portuguese,135,2,Clg of Letters & Science,marine science
33,2017 Spring,1,Psychology,C143,1,Clg of Letters & Science,marine science
34,2017 Spring,1,Psychology,198,11,Clg of Letters & Science,marine science
35,2017 Spring,1,Public Health,142,1,School of Public Health,marine science
36,2017 Spring,2,Sociology,133,1,Clg of Letters & Science,marine science
37,2017 Spring,1,Spanish,107B,1,Clg of Letters & Science,marine science
38,2017 Spring,1,Statistics,131A,1,Clg of Letters & Science,marine science
