Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,materials science and engineering
1,2017 Spring,2,Anthropology,2AC,1,Clg of Letters & Science,materials science and engineering
2,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,materials science and engineering
3,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,materials science and engineering
4,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,materials science and engineering
5,2017 Spring,1,Architecture,198,3,Clg of Environmental Design,materials science and engineering
6,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,materials science and engineering
7,2017 Spring,2,Architecture,198BC,2,Clg of Environmental Design,materials science and engineering
8,2017 Spring,1,Bioengineering,11,1,Clg of Engineering,materials science and engineering
9,2017 Spring,2,Business Admin-Undergrad,103,2,Haas School of Business,materials science and engineering
10,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,materials science and engineering
11,2017 Spring,1,Business Admin-Undergrad,119,1,Haas School of Business,materials science and engineering
12,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,materials science and engineering
13,2017 Spring,1,Business Admin-Undergrad,198,8,Haas School of Business,materials science and engineering
14,2017 Spring,1,Business Admin-Undergrad,198,9,Haas School of Business,materials science and engineering
15,2017 Spring,1,Celtic Studies,R1B,2,Clg of Letters & Science,materials science and engineering
16,2017 Spring,1,Chemical Engineering,154,1,Clg of Chemistry,materials science and engineering
17,2017 Spring,4,Chemical Engineering,198,3,Clg of Chemistry,materials science and engineering
18,2017 Spring,19,Chemistry,1B,1,Clg of Chemistry,materials science and engineering
19,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,materials science and engineering
20,2017 Spring,1,Chemistry,3A,2,Clg of Chemistry,materials science and engineering
21,2017 Spring,1,Chemistry,3AL,1,Clg of Chemistry,materials science and engineering
22,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,materials science and engineering
23,2017 Spring,1,Chemistry,4B,1,Clg of Chemistry,materials science and engineering
24,2017 Spring,1,Chemistry,98,3,Clg of Chemistry,materials science and engineering
25,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,materials science and engineering
26,2017 Spring,1,Civil & Environmental Eng,24,1,Clg of Engineering,materials science and engineering
27,2017 Spring,1,Civil & Environmental Eng,24,2,Clg of Engineering,materials science and engineering
28,2017 Spring,1,Civil & Environmental Eng,88B,1,Clg of Engineering,materials science and engineering
29,2017 Spring,2,Civil & Environmental Eng,98,5,Clg of Engineering,materials science and engineering
30,2017 Spring,1,Civil & Environmental Eng,107,1,Clg of Engineering,materials science and engineering
31,2017 Spring,1,Civil & Environmental Eng,198,6,Clg of Engineering,materials science and engineering
32,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,materials science and engineering
33,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,materials science and engineering
34,2017 Spring,1,College Writing Programs,R1A,5,Clg of Letters & Science,materials science and engineering
35,2017 Spring,1,College Writing Programs,150AC,1,Clg of Letters & Science,materials science and engineering
36,2017 Spring,1,Comparative Literature,R1A,3,Clg of Letters & Science,materials science and engineering
