Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,3,Electrical Engineering,16A,1,Clg of Engineering,materials science engineering and mechanical engineering
1,2017 Spring,1,Industrial Eng & Ops Rsch,95,1,Clg of Engineering,materials science engineering and mechanical engineering
2,2017 Spring,6,Materials Science & Eng,103,1,Clg of Engineering,materials science engineering and mechanical engineering
3,2017 Spring,6,Materials Science & Eng,104,1,Clg of Engineering,materials science engineering and mechanical engineering
4,2017 Spring,4,Materials Science & Eng,112,1,Clg of Engineering,materials science engineering and mechanical engineering
5,2017 Spring,1,Mechanical Engineering,102A,1,Clg of Engineering,materials science engineering and mechanical engineering
6,2017 Spring,3,Mechanical Engineering,102B,1,Clg of Engineering,materials science engineering and mechanical engineering
7,2017 Spring,1,Mechanical Engineering,106,1,Clg of Engineering,materials science engineering and mechanical engineering
8,2017 Spring,2,Mechanical Engineering,107,1,Clg of Engineering,materials science engineering and mechanical engineering
9,2017 Spring,3,Mechanical Engineering,109,1,Clg of Engineering,materials science engineering and mechanical engineering
10,2017 Spring,1,Mechanical Engineering,110,1,Clg of Engineering,materials science engineering and mechanical engineering
11,2017 Spring,1,Mechanical Engineering,122,1,Clg of Engineering,materials science engineering and mechanical engineering
12,2017 Spring,1,Mechanical Engineering,132,1,Clg of Engineering,materials science engineering and mechanical engineering
13,2017 Spring,1,Mechanical Engineering,135,1,Clg of Engineering,materials science engineering and mechanical engineering
14,2017 Spring,1,Music,29,1,Clg of Letters & Science,materials science engineering and mechanical engineering
15,2017 Spring,1,New Media,198,1,Clg of Engineering,materials science engineering and mechanical engineering
