Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,math
1,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,math
2,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,math
3,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,math
4,2017 Spring,2,Anthropology,170,1,Clg of Letters & Science,math
5,2017 Spring,1,Arabic,1B,7,Clg of Letters & Science,math
6,2017 Spring,1,Architecture,198BC,2,Clg of Environmental Design,math
7,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,math
8,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,math
9,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,math
10,2017 Spring,1,Bioengineering,110,1,Clg of Engineering,math
11,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,math
12,2017 Spring,1,Business Admin-Undergrad,103,2,Haas School of Business,math
13,2017 Spring,1,Business Admin-Undergrad,152,2,Haas School of Business,math
14,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,math
15,2017 Spring,1,Business Admin-Undergrad,198,1,Haas School of Business,math
16,2017 Spring,1,Catalan,101,1,Clg of Letters & Science,math
17,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,math
18,2017 Spring,1,Chemistry,1A,1,Clg of Chemistry,math
19,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,math
20,2017 Spring,1,Chemistry,105,1,Clg of Chemistry,math
21,2017 Spring,1,Chemistry,114,1,Clg of Chemistry,math
22,2017 Spring,1,Chicano Studies,141,1,Clg of Letters & Science,math
23,2017 Spring,1,Chinese,101,1,Clg of Letters & Science,math
24,2017 Spring,1,Classics,28,1,Clg of Letters & Science,math
25,2017 Spring,1,Classics,35,1,Clg of Letters & Science,math
26,2017 Spring,1,Classics,161,1,Clg of Letters & Science,math
27,2017 Spring,1,Cognitive Science,1,1,Clg of Letters & Science,math
28,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,math
29,2017 Spring,1,Comparative Literature,171,1,Clg of Letters & Science,math
30,2017 Spring,2,Computer Science,C8,1,Clg of Engineering,math
31,2017 Spring,1,Computer Science,9A,1,Clg of Engineering,math
32,2017 Spring,1,Computer Science,10,1,Clg of Engineering,math
33,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,math
34,2017 Spring,8,Computer Science,61B,1,Clg of Engineering,math
35,2017 Spring,4,Computer Science,61C,1,Clg of Engineering,math
36,2017 Spring,1,Computer Science,70,1,Clg of Engineering,math
37,2017 Spring,8,Computer Science,161,1,Clg of Engineering,math
38,2017 Spring,3,Computer Science,162,1,Clg of Engineering,math
39,2017 Spring,5,Computer Science,164,1,Clg of Engineering,math
40,2017 Spring,4,Computer Science,170,1,Clg of Engineering,math
41,2017 Spring,1,Computer Science,174,1,Clg of Engineering,math
42,2017 Spring,4,Computer Science,184,1,Clg of Engineering,math
43,2017 Spring,8,Computer Science,186,1,Clg of Engineering,math
44,2017 Spring,1,Computer Science,188,1,Clg of Engineering,math
45,2017 Spring,12,Computer Science,189,1,Clg of Engineering,math
46,2017 Spring,4,Computer Science,C191,1,Clg of Engineering,math
47,2017 Spring,1,Computer Science,195,1,Clg of Engineering,math
48,2017 Spring,1,Computer Science,197,203,Clg of Engineering,math
49,2017 Spring,1,Computer Science,197,215,Clg of Engineering,math
50,2017 Spring,1,Computer Science,198,56,Clg of Engineering,math
51,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,math
52,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,math
53,2017 Spring,2,Economics,1,1,Clg of Letters & Science,math
54,2017 Spring,1,Economics,141,1,Clg of Letters & Science,math
55,2017 Spring,1,Economics,C171,1,Clg of Letters & Science,math
56,2017 Spring,2,Economics,C175,1,Clg of Letters & Science,math
57,2017 Spring,1,Education,130,1,Grad School of Education,math
58,2017 Spring,4,Education,131AC,1,Grad School of Education,math
59,2017 Spring,1,Education,190AC,1,Grad School of Education,math
60,2017 Spring,1,Education,197,12,Grad School of Education,math
61,2017 Spring,3,Electrical Engineering,16A,1,Clg of Engineering,math
62,2017 Spring,1,Electrical Engineering,105,1,Clg of Engineering,math
63,2017 Spring,2,Electrical Engineering,122,1,Clg of Engineering,math
64,2017 Spring,2,Electrical Engineering,126,1,Clg of Engineering,math
65,2017 Spring,2,Electrical Engineering,127,1,Clg of Engineering,math
66,2017 Spring,1,Electrical Engineering,C128,1,Clg of Engineering,math
67,2017 Spring,1,Electrical Engineering,198,13,Clg of Engineering,math
68,2017 Spring,1,English,45A,1,Clg of Letters & Science,math
69,2017 Spring,1,English,118,1,Clg of Letters & Science,math
70,2017 Spring,1,English,132,1,Clg of Letters & Science,math
71,2017 Spring,1,English,143A,1,Clg of Letters & Science,math
72,2017 Spring,1,English,H195B,1,Clg of Letters & Science,math
73,2017 Spring,2,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,math
74,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,math
75,2017 Spring,2,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,math
76,2017 Spring,1,"Env Sci, Policy, & Mgmt",114,1,Clg of Natural Resources,math
77,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,math
78,2017 Spring,1,"Env Sci, Policy, & Mgmt",C167,1,Clg of Natural Resources,math
79,2017 Spring,1,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,math
80,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,15,Clg of Natural Resources,math
81,2017 Spring,1,Ethnic Studies,21AC,1,Clg of Letters & Science,math
82,2017 Spring,1,Ethnic Studies,122AC,1,Clg of Letters & Science,math
83,2017 Spring,1,Ethnic Studies,197,6,Clg of Letters & Science,math
84,2017 Spring,1,Ethnic Studies,197,11,Clg of Letters & Science,math
85,2017 Spring,1,Film,20,1,Clg of Letters & Science,math
86,2017 Spring,1,Film,25B,1,Clg of Letters & Science,math
87,2017 Spring,1,Film,160,2,Clg of Letters & Science,math
88,2017 Spring,1,French,2,4,Clg of Letters & Science,math
89,2017 Spring,1,French,180D,1,Clg of Letters & Science,math
90,2017 Spring,1,Gender & Womens Studies,10,1,Clg of Letters & Science,math
91,2017 Spring,3,Gender & Womens Studies,14,1,Clg of Letters & Science,math
92,2017 Spring,2,Gender & Womens Studies,100AC,1,Clg of Letters & Science,math
93,2017 Spring,4,Geography,20,1,Clg of Letters & Science,math
94,2017 Spring,1,Geography,181,1,Clg of Letters & Science,math
95,2017 Spring,1,German,1,2,Clg of Letters & Science,math
96,2017 Spring,1,German,1,4,Clg of Letters & Science,math
97,2017 Spring,1,German,2,2,Clg of Letters & Science,math
98,2017 Spring,1,German,2,5,Clg of Letters & Science,math
99,2017 Spring,1,German,R5B,2,Clg of Letters & Science,math
100,2017 Spring,1,German,R5B,3,Clg of Letters & Science,math
101,2017 Spring,1,History,7B,1,Clg of Letters & Science,math
102,2017 Spring,1,History,160,1,Clg of Letters & Science,math
103,2017 Spring,1,History,162B,1,Clg of Letters & Science,math
104,2017 Spring,1,History,164A,1,Clg of Letters & Science,math
105,2017 Spring,1,History,171C,1,Clg of Letters & Science,math
106,2017 Spring,2,History,182A,1,Clg of Letters & Science,math
107,2017 Spring,1,History,198BC,1,Clg of Letters & Science,math
108,2017 Spring,1,History,198BC,2,Clg of Letters & Science,math
109,2017 Spring,1,History of Art,11,1,Clg of Letters & Science,math
110,2017 Spring,1,Industrial Eng & Ops Rsch,160,1,Clg of Engineering,math
111,2017 Spring,1,Industrial Eng & Ops Rsch,190C,1,Clg of Engineering,math
112,2017 Spring,1,Industrial Eng & Ops Rsch,195,1,Clg of Engineering,math
113,2017 Spring,1,Integrative Biology,31,1,Clg of Letters & Science,math
114,2017 Spring,1,Integrative Biology,198,2,Clg of Letters & Science,math
115,2017 Spring,1,Interdisciplinary Studies,100A,1,Clg of Letters & Science,math
116,2017 Spring,1,Interdisciplinary Studies,100C,1,Clg of Letters & Science,math
117,2017 Spring,1,Interdisciplinary Studies,100G,1,Clg of Letters & Science,math
118,2017 Spring,1,Italian Studies,1S,1,Clg of Letters & Science,math
119,2017 Spring,1,Italian Studies,4,1,Clg of Letters & Science,math
120,2017 Spring,1,Japanese,1B,1,Clg of Letters & Science,math
121,2017 Spring,1,Japanese,1B,2,Clg of Letters & Science,math
122,2017 Spring,1,Japanese,1B,6,Clg of Letters & Science,math
123,2017 Spring,2,Japanese,7B,1,Clg of Letters & Science,math
124,2017 Spring,1,Japanese,100B,2,Clg of Letters & Science,math
125,2017 Spring,1,Korean,1B,1,Clg of Letters & Science,math
126,2017 Spring,1,Korean,1B,2,Clg of Letters & Science,math
127,2017 Spring,1,Korean,10B,2,Clg of Letters & Science,math
128,2017 Spring,1,Korean,100B,1,Clg of Letters & Science,math
129,2017 Spring,1,Korean,187,1,Clg of Letters & Science,math
130,2017 Spring,1,Landscape Arch & Env Plan,1,1,Clg of Environmental Design,math
131,2017 Spring,1,Latin,122,1,Clg of Letters & Science,math
132,2017 Spring,1,Legal Studies,R1B,1,School of Law,math
133,2017 Spring,1,Legal Studies,132AC,1,School of Law,math
134,2017 Spring,1,Legal Studies,153,1,School of Law,math
135,2017 Spring,1,Letters & Science,C30Z,1,Clg of Letters & Science,math
136,2017 Spring,2,Letters & Science,70C,1,Clg of Letters & Science,math
137,2017 Spring,1,Letters & Science,C70T,1,Clg of Letters & Science,math
138,2017 Spring,1,Linguistics,10,1,Clg of Letters & Science,math
139,2017 Spring,1,Linguistics,115,1,Clg of Letters & Science,math
140,2017 Spring,1,Linguistics,120,1,Clg of Letters & Science,math
141,2017 Spring,1,Linguistics,C160,1,Clg of Letters & Science,math
142,2017 Spring,1,Linguistics,197,1,Clg of Letters & Science,math
143,2017 Spring,1,Linguistics,198,2,Clg of Letters & Science,math
144,2017 Spring,1,Materials Science & Eng,103,1,Clg of Engineering,math
145,2017 Spring,1,Materials Science & Eng,104,1,Clg of Engineering,math
146,2017 Spring,1,Mathematics,53,2,Clg of Letters & Science,math
