Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,mcb biochemistry and molecular biology
1,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,mcb biochemistry and molecular biology
2,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,mcb biochemistry and molecular biology
3,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,mcb biochemistry and molecular biology
4,2017 Spring,1,Anthropology,R5B,2,Clg of Letters & Science,mcb biochemistry and molecular biology
5,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,mcb biochemistry and molecular biology
6,2017 Spring,1,Art Practice,185,1,Clg of Letters & Science,mcb biochemistry and molecular biology
7,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,mcb biochemistry and molecular biology
8,2017 Spring,2,Bioengineering,111,1,Clg of Engineering,mcb biochemistry and molecular biology
9,2017 Spring,1,Bioengineering,115,1,Clg of Engineering,mcb biochemistry and molecular biology
10,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,mcb biochemistry and molecular biology
11,2017 Spring,1,Bioengineering,198,27,Clg of Engineering,mcb biochemistry and molecular biology
12,2017 Spring,3,Biology,1B,1,Clg of Letters & Science,mcb biochemistry and molecular biology
13,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,mcb biochemistry and molecular biology
14,2017 Spring,1,Business Admin-Undergrad,101B,1,Haas School of Business,mcb biochemistry and molecular biology
15,2017 Spring,1,Business Admin-Undergrad,102B,1,Haas School of Business,mcb biochemistry and molecular biology
16,2017 Spring,2,Business Admin-Undergrad,103,1,Haas School of Business,mcb biochemistry and molecular biology
17,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,mcb biochemistry and molecular biology
18,2017 Spring,3,Business Admin-Undergrad,107,1,Haas School of Business,mcb biochemistry and molecular biology
19,2017 Spring,1,Business Admin-Undergrad,198,4,Haas School of Business,mcb biochemistry and molecular biology
20,2017 Spring,1,Chemical Engineering,90,1,Clg of Chemistry,mcb biochemistry and molecular biology
21,2017 Spring,2,Chemical Engineering,141,1,Clg of Chemistry,mcb biochemistry and molecular biology
