Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,mcb genetics
1,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,mcb genetics
2,2017 Spring,1,African American Studies,197,3,Clg of Letters & Science,mcb genetics
3,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,mcb genetics
4,2017 Spring,1,Asian American Studies,198,1,Clg of Letters & Science,mcb genetics
5,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,mcb genetics
6,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,mcb genetics
7,2017 Spring,2,Bioengineering,144,1,Clg of Engineering,mcb genetics
8,2017 Spring,1,Bioengineering,163L,10,Clg of Engineering,mcb genetics
9,2017 Spring,1,Business Admin-Undergrad,102B,2,Haas School of Business,mcb genetics
10,2017 Spring,1,Business Admin-Undergrad,103,1,Haas School of Business,mcb genetics
11,2017 Spring,1,Business Admin-Undergrad,103,2,Haas School of Business,mcb genetics
12,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,mcb genetics
13,2017 Spring,1,Business Admin-Undergrad,155,1,Haas School of Business,mcb genetics
14,2017 Spring,1,Business Admin-Undergrad,196,1,Haas School of Business,mcb genetics
15,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,mcb genetics
16,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,mcb genetics
17,2017 Spring,1,Chemistry,105,1,Clg of Chemistry,mcb genetics
18,2017 Spring,2,Chemistry,114,1,Clg of Chemistry,mcb genetics
19,2017 Spring,2,Chemistry,130B,1,Clg of Chemistry,mcb genetics
20,2017 Spring,1,Chinese,1B,2,Clg of Letters & Science,mcb genetics
21,2017 Spring,1,Chinese,10B,1,Clg of Letters & Science,mcb genetics
22,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,mcb genetics
23,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,mcb genetics
24,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,mcb genetics
25,2017 Spring,3,Computer Science,61C,1,Clg of Engineering,mcb genetics
26,2017 Spring,1,Computer Science,160,3,Clg of Engineering,mcb genetics
27,2017 Spring,1,Computer Science,184,1,Clg of Engineering,mcb genetics
28,2017 Spring,3,Computer Science,186,1,Clg of Engineering,mcb genetics
29,2017 Spring,1,Computer Science,188,1,Clg of Engineering,mcb genetics
30,2017 Spring,1,Computer Science,189,1,Clg of Engineering,mcb genetics
31,2017 Spring,1,Computer Science,197,1,Clg of Engineering,mcb genetics
32,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,mcb genetics
33,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,mcb genetics
34,2017 Spring,1,Economics,115,1,Clg of Letters & Science,mcb genetics
35,2017 Spring,1,Economics,131,1,Clg of Letters & Science,mcb genetics
36,2017 Spring,1,Economics,133,1,Clg of Letters & Science,mcb genetics
37,2017 Spring,1,Economics,138,1,Clg of Letters & Science,mcb genetics
38,2017 Spring,1,Economics,140,1,Clg of Letters & Science,mcb genetics
39,2017 Spring,2,Economics,151,1,Clg of Letters & Science,mcb genetics
40,2017 Spring,1,Economics,C171,1,Clg of Letters & Science,mcb genetics
41,2017 Spring,1,Economics,C175,1,Clg of Letters & Science,mcb genetics
42,2017 Spring,1,Education,182AC,1,Grad School of Education,mcb genetics
43,2017 Spring,1,Education,183,1,Grad School of Education,mcb genetics
44,2017 Spring,1,Education,190AC,1,Grad School of Education,mcb genetics
45,2017 Spring,1,Education,197,24,Grad School of Education,mcb genetics
46,2017 Spring,2,Electrical Engineering,16A,1,Clg of Engineering,mcb genetics
47,2017 Spring,1,English,132,1,Clg of Letters & Science,mcb genetics
48,2017 Spring,2,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,mcb genetics
49,2017 Spring,1,"Env Sci, Policy, & Mgmt",144,1,Clg of Natural Resources,mcb genetics
50,2017 Spring,3,"Env Sci, Policy, & Mgmt",C148,1,Clg of Natural Resources,mcb genetics
51,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,1,Clg of Natural Resources,mcb genetics
52,2017 Spring,1,"Env Sci, Policy, & Mgmt",198BC,5,Clg of Natural Resources,mcb genetics
53,2017 Spring,1,Environ Econ & Policy,C101,1,Clg of Natural Resources,mcb genetics
54,2017 Spring,1,Ethnic Studies,198,10,Clg of Letters & Science,mcb genetics
55,2017 Spring,1,Filipino,1B,2,Clg of Letters & Science,mcb genetics
56,2017 Spring,1,Film,108,3,Clg of Letters & Science,mcb genetics
