Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,mcb immunology
1,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,mcb immunology
2,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,mcb immunology
3,2017 Spring,3,Anthropology,170,1,Clg of Letters & Science,mcb immunology
4,2017 Spring,1,Anthropology,183,1,Clg of Letters & Science,mcb immunology
5,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,mcb immunology
6,2017 Spring,1,Arabic,1B,4,Clg of Letters & Science,mcb immunology
7,2017 Spring,1,Arabic,100B,1,Clg of Letters & Science,mcb immunology
8,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,mcb immunology
9,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,mcb immunology
10,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,mcb immunology
11,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,mcb immunology
12,2017 Spring,1,Asian American Studies,151AC,1,Clg of Letters & Science,mcb immunology
13,2017 Spring,1,Asian American Studies,197,7,Clg of Letters & Science,mcb immunology
14,2017 Spring,1,Asian American Studies,198,1,Clg of Letters & Science,mcb immunology
15,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,mcb immunology
16,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,mcb immunology
17,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,mcb immunology
18,2017 Spring,1,Bengali,101B,1,Clg of Letters & Science,mcb immunology
19,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,mcb immunology
20,2017 Spring,1,Bioengineering,198,16,Clg of Engineering,mcb immunology
21,2017 Spring,1,Bioengineering,198,27,Clg of Engineering,mcb immunology
22,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,mcb immunology
23,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,mcb immunology
24,2017 Spring,1,Buddhist Studies,C117,1,Clg of Letters & Science,mcb immunology
25,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,mcb immunology
26,2017 Spring,1,Business Admin-Undergrad,103,1,Haas School of Business,mcb immunology
27,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,mcb immunology
28,2017 Spring,1,Business Admin-Undergrad,167,1,Haas School of Business,mcb immunology
29,2017 Spring,1,Business Admin-Undergrad,178,1,Haas School of Business,mcb immunology
30,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,mcb immunology
31,2017 Spring,1,Business Admin-Undergrad,196,3,Haas School of Business,mcb immunology
32,2017 Spring,1,Celtic Studies,173,1,Clg of Letters & Science,mcb immunology
33,2017 Spring,2,Chemical Engineering,198,3,Clg of Chemistry,mcb immunology
34,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,mcb immunology
35,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,mcb immunology
36,2017 Spring,2,Chemistry,3BL,1,Clg of Chemistry,mcb immunology
37,2017 Spring,1,Chemistry,114,1,Clg of Chemistry,mcb immunology
38,2017 Spring,2,Chemistry,130B,1,Clg of Chemistry,mcb immunology
39,2017 Spring,1,Chicano Studies,141,1,Clg of Letters & Science,mcb immunology
40,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,mcb immunology
41,2017 Spring,1,Chinese,1B,4,Clg of Letters & Science,mcb immunology
42,2017 Spring,1,Chinese,100XB,1,Clg of Letters & Science,mcb immunology
43,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,mcb immunology
44,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,mcb immunology
45,2017 Spring,1,Classics,28,1,Clg of Letters & Science,mcb immunology
46,2017 Spring,1,Cognitive Science,198,5,Clg of Letters & Science,mcb immunology
47,2017 Spring,1,College Writing Programs,R4B,12,Clg of Letters & Science,mcb immunology
48,2017 Spring,1,College Writing Programs,10A,2,Clg of Letters & Science,mcb immunology
49,2017 Spring,2,College Writing Programs,106,1,Clg of Letters & Science,mcb immunology
50,2017 Spring,1,College Writing Programs,110,1,Clg of Letters & Science,mcb immunology
51,2017 Spring,2,College Writing Programs,161,1,Clg of Letters & Science,mcb immunology
52,2017 Spring,1,Comparative Literature,R1B,22,Clg of Letters & Science,mcb immunology
53,2017 Spring,1,Comparative Literature,190,1,Clg of Letters & Science,mcb immunology
54,2017 Spring,2,Computer Science,C8,1,Clg of Engineering,mcb immunology
55,2017 Spring,1,Computer Science,10,1,Clg of Engineering,mcb immunology
56,2017 Spring,4,Computer Science,61A,1,Clg of Engineering,mcb immunology
57,2017 Spring,3,Computer Science,61B,1,Clg of Engineering,mcb immunology
58,2017 Spring,1,Computer Science,61C,1,Clg of Engineering,mcb immunology
59,2017 Spring,1,Computer Science,C100,1,Clg of Engineering,mcb immunology
60,2017 Spring,2,Computer Science,161,1,Clg of Engineering,mcb immunology
61,2017 Spring,1,Computer Science,170,1,Clg of Engineering,mcb immunology
62,2017 Spring,2,Computer Science,186,1,Clg of Engineering,mcb immunology
63,2017 Spring,1,Computer Science,189,1,Clg of Engineering,mcb immunology
64,2017 Spring,1,Computer Science,195,1,Clg of Engineering,mcb immunology
65,2017 Spring,1,Computer Science,197,214,Clg of Engineering,mcb immunology
66,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,mcb immunology
67,2017 Spring,1,Dutch,125,1,Clg of Letters & Science,mcb immunology
68,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,mcb immunology
