Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,African American Studies,197,3,Clg of Letters & Science,mcb neurobiology
1,2017 Spring,2,Anthropology,2AC,1,Clg of Letters & Science,mcb neurobiology
2,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,mcb neurobiology
3,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,mcb neurobiology
4,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,mcb neurobiology
5,2017 Spring,1,Arabic,100B,1,Clg of Letters & Science,mcb neurobiology
6,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,mcb neurobiology
7,2017 Spring,1,Armenian,101B,1,Clg of Letters & Science,mcb neurobiology
8,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,mcb neurobiology
9,2017 Spring,3,Asian American Studies,132AC,1,Clg of Letters & Science,mcb neurobiology
10,2017 Spring,1,Asian American Studies,197,1,Clg of Letters & Science,mcb neurobiology
11,2017 Spring,1,Asian American Studies,197,2,Clg of Letters & Science,mcb neurobiology
12,2017 Spring,1,Asian American Studies,197,5,Clg of Letters & Science,mcb neurobiology
13,2017 Spring,1,Asian Studies,198,2,Clg of Letters & Science,mcb neurobiology
14,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,mcb neurobiology
15,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,mcb neurobiology
16,2017 Spring,2,Bioengineering,104,1,Clg of Engineering,mcb neurobiology
17,2017 Spring,1,Bioengineering,110,1,Clg of Engineering,mcb neurobiology
18,2017 Spring,1,Bioengineering,121,1,Clg of Engineering,mcb neurobiology
19,2017 Spring,2,Biology,1A,1,Clg of Letters & Science,mcb neurobiology
20,2017 Spring,2,Biology,1AL,1,Clg of Letters & Science,mcb neurobiology
21,2017 Spring,4,Biology,1B,1,Clg of Letters & Science,mcb neurobiology
22,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,mcb neurobiology
23,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,mcb neurobiology
24,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,mcb neurobiology
25,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,mcb neurobiology
26,2017 Spring,1,Business Admin-Undergrad,190T,3,Haas School of Business,mcb neurobiology
27,2017 Spring,1,Celtic Studies,125,1,Clg of Letters & Science,mcb neurobiology
28,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,mcb neurobiology
29,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,mcb neurobiology
30,2017 Spring,3,Chemistry,3BL,2,Clg of Chemistry,mcb neurobiology
31,2017 Spring,1,Chemistry,114,1,Clg of Chemistry,mcb neurobiology
32,2017 Spring,1,Chemistry,130B,1,Clg of Chemistry,mcb neurobiology
33,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,mcb neurobiology
34,2017 Spring,1,Chicano Studies,180,1,Clg of Letters & Science,mcb neurobiology
35,2017 Spring,1,Chicano Studies,180,2,Clg of Letters & Science,mcb neurobiology
36,2017 Spring,1,Classics,130,1,Clg of Letters & Science,mcb neurobiology
37,2017 Spring,1,Classics,C175F,1,Clg of Letters & Science,mcb neurobiology
38,2017 Spring,3,Classics,180,1,Clg of Letters & Science,mcb neurobiology
39,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,mcb neurobiology
40,2017 Spring,1,Cognitive Science,198,6,Clg of Letters & Science,mcb neurobiology
41,2017 Spring,1,Comparative Literature,165,1,Clg of Letters & Science,mcb neurobiology
42,2017 Spring,1,Comparative Literature,171,1,Clg of Letters & Science,mcb neurobiology
43,2017 Spring,1,Computer Science,9A,1,Clg of Engineering,mcb neurobiology
44,2017 Spring,4,Computer Science,61A,1,Clg of Engineering,mcb neurobiology
45,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,mcb neurobiology
46,2017 Spring,1,Computer Science,160,2,Clg of Engineering,mcb neurobiology
47,2017 Spring,1,Computer Science,160,3,Clg of Engineering,mcb neurobiology
48,2017 Spring,1,Computer Science,162,1,Clg of Engineering,mcb neurobiology
49,2017 Spring,2,Computer Science,170,1,Clg of Engineering,mcb neurobiology
50,2017 Spring,1,Computer Science,184,1,Clg of Engineering,mcb neurobiology
51,2017 Spring,1,Computer Science,186,1,Clg of Engineering,mcb neurobiology
52,2017 Spring,2,Computer Science,189,1,Clg of Engineering,mcb neurobiology
53,2017 Spring,1,Computer Science,195,1,Clg of Engineering,mcb neurobiology
54,2017 Spring,1,Computer Science,197,214,Clg of Engineering,mcb neurobiology
55,2017 Spring,1,Computer Science,198,58,Clg of Engineering,mcb neurobiology
56,2017 Spring,1,East Asian Languages,112,1,Clg of Letters & Science,mcb neurobiology
57,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,mcb neurobiology
58,2017 Spring,1,Economics,1,1,Clg of Letters & Science,mcb neurobiology
59,2017 Spring,1,Economics,133,1,Clg of Letters & Science,mcb neurobiology
60,2017 Spring,1,Education,W140A,1,Grad School of Education,mcb neurobiology
61,2017 Spring,1,Education,197,55,Grad School of Education,mcb neurobiology
62,2017 Spring,1,Education,198,24,Grad School of Education,mcb neurobiology
63,2017 Spring,1,Engineering,120,1,Clg of Engineering,mcb neurobiology
64,2017 Spring,1,English,28,1,Clg of Letters & Science,mcb neurobiology
65,2017 Spring,3,English,80K,1,Clg of Letters & Science,mcb neurobiology
66,2017 Spring,1,English,117S,2,Clg of Letters & Science,mcb neurobiology
67,2017 Spring,2,English,125E,1,Clg of Letters & Science,mcb neurobiology
