Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,135B,1,Clg of Letters & Science,mechanical engineering
1,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,mechanical engineering
2,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,mechanical engineering
3,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,mechanical engineering
4,2017 Spring,3,Anthropology,2AC,1,Clg of Letters & Science,mechanical engineering
5,2017 Spring,6,Anthropology,3AC,1,Clg of Letters & Science,mechanical engineering
6,2017 Spring,2,Anthropology,R5B,4,Clg of Letters & Science,mechanical engineering
7,2017 Spring,3,Anthropology,121AC,1,Clg of Letters & Science,mechanical engineering
8,2017 Spring,2,Anthropology,160AC,1,Clg of Letters & Science,mechanical engineering
9,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,mechanical engineering
10,2017 Spring,1,Anthropology,183,1,Clg of Letters & Science,mechanical engineering
11,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,mechanical engineering
12,2017 Spring,2,Architecture,98,3,Clg of Environmental Design,mechanical engineering
13,2017 Spring,1,Architecture,129,2,Clg of Environmental Design,mechanical engineering
14,2017 Spring,1,Architecture,160,1,Clg of Environmental Design,mechanical engineering
15,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,mechanical engineering
16,2017 Spring,3,Asian American Studies,132AC,1,Clg of Letters & Science,mechanical engineering
17,2017 Spring,2,Astronomy,7B,1,Clg of Letters & Science,mechanical engineering
18,2017 Spring,1,Bengali,101B,1,Clg of Letters & Science,mechanical engineering
19,2017 Spring,1,Bioengineering,24,1,Clg of Engineering,mechanical engineering
20,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,mechanical engineering
21,2017 Spring,1,Biology,1A,2,Clg of Letters & Science,mechanical engineering
22,2017 Spring,2,Business Admin-Undergrad,C5,1,Haas School of Business,mechanical engineering
23,2017 Spring,1,Business Admin-Undergrad,10,1,Haas School of Business,mechanical engineering
24,2017 Spring,2,Business Admin-Undergrad,96,2,Haas School of Business,mechanical engineering
25,2017 Spring,2,Business Admin-Undergrad,96,3,Haas School of Business,mechanical engineering
26,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,mechanical engineering
27,2017 Spring,1,Business Admin-Undergrad,141,1,Haas School of Business,mechanical engineering
28,2017 Spring,1,Business Admin-Undergrad,180,1,Haas School of Business,mechanical engineering
29,2017 Spring,3,Chemical Engineering,198,3,Clg of Chemistry,mechanical engineering
30,2017 Spring,1,Chemistry,1A,1,Clg of Chemistry,mechanical engineering
31,2017 Spring,2,Chemistry,1A,2,Clg of Chemistry,mechanical engineering
32,2017 Spring,3,Chemistry,1AL,1,Clg of Chemistry,mechanical engineering
33,2017 Spring,1,Chemistry,4B,1,Clg of Chemistry,mechanical engineering
34,2017 Spring,1,Chinese,1A,2,Clg of Letters & Science,mechanical engineering
35,2017 Spring,1,Chinese,1A,4,Clg of Letters & Science,mechanical engineering
36,2017 Spring,1,Chinese,10X,3,Clg of Letters & Science,mechanical engineering
37,2017 Spring,1,Chinese,100XB,1,Clg of Letters & Science,mechanical engineering
38,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,mechanical engineering
39,2017 Spring,2,Civil & Environmental Eng,11,1,Clg of Engineering,mechanical engineering
40,2017 Spring,1,Civil & Environmental Eng,98,2,Clg of Engineering,mechanical engineering
41,2017 Spring,2,Civil & Environmental Eng,98,5,Clg of Engineering,mechanical engineering
42,2017 Spring,1,Civil & Environmental Eng,98,10,Clg of Engineering,mechanical engineering
43,2017 Spring,3,Civil & Environmental Eng,107,1,Clg of Engineering,mechanical engineering
44,2017 Spring,8,Civil & Environmental Eng,120,1,Clg of Engineering,mechanical engineering
45,2017 Spring,5,Civil & Environmental Eng,130N,1,Clg of Engineering,mechanical engineering
46,2017 Spring,2,Civil & Environmental Eng,C133,1,Clg of Engineering,mechanical engineering
47,2017 Spring,4,Civil & Environmental Eng,198,6,Clg of Engineering,mechanical engineering
48,2017 Spring,1,Civil & Environmental Eng,198,11,Clg of Engineering,mechanical engineering
49,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,mechanical engineering
50,2017 Spring,1,Classics,161,1,Clg of Letters & Science,mechanical engineering
51,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,mechanical engineering
52,2017 Spring,1,Cognitive Science,198,5,Clg of Letters & Science,mechanical engineering
53,2017 Spring,1,Cognitive Science,198,6,Clg of Letters & Science,mechanical engineering
54,2017 Spring,1,College Writing Programs,R4B,3,Clg of Letters & Science,mechanical engineering
55,2017 Spring,1,College Writing Programs,R4B,4,Clg of Letters & Science,mechanical engineering
56,2017 Spring,1,College Writing Programs,R4B,14,Clg of Letters & Science,mechanical engineering
57,2017 Spring,1,College Writing Programs,110,1,Clg of Letters & Science,mechanical engineering
58,2017 Spring,1,Comparative Literature,R1A,3,Clg of Letters & Science,mechanical engineering
59,2017 Spring,2,Comparative Literature,R1B,11,Clg of Letters & Science,mechanical engineering
60,2017 Spring,4,Computer Science,C8,1,Clg of Engineering,mechanical engineering
61,2017 Spring,1,Computer Science,9F,1,Clg of Engineering,mechanical engineering
62,2017 Spring,1,Computer Science,9H,1,Clg of Engineering,mechanical engineering
63,2017 Spring,1,Computer Science,24,2,Clg of Engineering,mechanical engineering
64,2017 Spring,13,Computer Science,61A,1,Clg of Engineering,mechanical engineering
65,2017 Spring,30,Computer Science,61B,1,Clg of Engineering,mechanical engineering
66,2017 Spring,3,Computer Science,61C,1,Clg of Engineering,mechanical engineering
67,2017 Spring,10,Computer Science,70,1,Clg of Engineering,mechanical engineering
68,2017 Spring,1,Computer Science,97,205,Clg of Engineering,mechanical engineering
69,2017 Spring,2,Computer Science,97,213,Clg of Engineering,mechanical engineering
70,2017 Spring,1,Computer Science,160,2,Clg of Engineering,mechanical engineering
71,2017 Spring,1,Computer Science,160,3,Clg of Engineering,mechanical engineering
72,2017 Spring,3,Computer Science,161,1,Clg of Engineering,mechanical engineering
73,2017 Spring,1,Computer Science,162,1,Clg of Engineering,mechanical engineering
74,2017 Spring,5,Computer Science,170,1,Clg of Engineering,mechanical engineering
75,2017 Spring,1,Computer Science,184,1,Clg of Engineering,mechanical engineering
76,2017 Spring,2,Computer Science,186,1,Clg of Engineering,mechanical engineering
77,2017 Spring,5,Computer Science,188,1,Clg of Engineering,mechanical engineering
78,2017 Spring,8,Computer Science,189,1,Clg of Engineering,mechanical engineering
79,2017 Spring,1,Computer Science,194,133,Clg of Engineering,mechanical engineering
80,2017 Spring,1,Computer Science,195,1,Clg of Engineering,mechanical engineering
81,2017 Spring,5,Computer Science,197,214,Clg of Engineering,mechanical engineering
82,2017 Spring,4,Computer Science,198,58,Clg of Engineering,mechanical engineering
83,2017 Spring,2,Computer Science,198,64,Clg of Engineering,mechanical engineering
84,2017 Spring,1,Computer Science,198,71,Clg of Engineering,mechanical engineering
85,2017 Spring,7,Computer Science,198,75,Clg of Engineering,mechanical engineering
86,2017 Spring,1,Computer Science,198,642,Clg of Engineering,mechanical engineering
87,2017 Spring,1,Demography,C175,1,Clg of Letters & Science,mechanical engineering
88,2017 Spring,2,Design Innovation,21,1,Clg of Engineering,mechanical engineering
89,2017 Spring,5,Design Innovation,22,1,Clg of Engineering,mechanical engineering
