Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,African American Studies,11B,1,Clg of Letters & Science,media studies
1,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,media studies
2,2017 Spring,1,African American Studies,98BC,1,Clg of Letters & Science,media studies
3,2017 Spring,2,African American Studies,115,1,Clg of Letters & Science,media studies
4,2017 Spring,1,African American Studies,118,1,Clg of Letters & Science,media studies
5,2017 Spring,2,African American Studies,139,2,Clg of Letters & Science,media studies
6,2017 Spring,10,African American Studies,142AC,1,Clg of Letters & Science,media studies
7,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,media studies
8,2017 Spring,1,African American Studies,159,1,Clg of Letters & Science,media studies
9,2017 Spring,3,African American Studies,197,3,Clg of Letters & Science,media studies
10,2017 Spring,2,African American Studies,198,2,Clg of Letters & Science,media studies
11,2017 Spring,1,African American Studies,198BC,1,Clg of Letters & Science,media studies
12,2017 Spring,1,American Studies,10,1,Clg of Letters & Science,media studies
13,2017 Spring,27,American Studies,101,1,Clg of Letters & Science,media studies
14,2017 Spring,3,American Studies,C112B,1,Clg of Letters & Science,media studies
15,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,media studies
16,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,media studies
17,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,media studies
18,2017 Spring,1,Anthropology,128,2,Clg of Letters & Science,media studies
19,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,media studies
20,2017 Spring,2,Anthropology,156,1,Clg of Letters & Science,media studies
21,2017 Spring,12,Anthropology,160AC,1,Clg of Letters & Science,media studies
22,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,media studies
23,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,media studies
24,2017 Spring,1,Arabic,1B,3,Clg of Letters & Science,media studies
25,2017 Spring,1,Architecture,98,6,Clg of Environmental Design,media studies
26,2017 Spring,3,Architecture,198,4,Clg of Environmental Design,media studies
27,2017 Spring,2,Architecture,198BC,2,Clg of Environmental Design,media studies
28,2017 Spring,1,Armenian,1B,1,Clg of Letters & Science,media studies
29,2017 Spring,1,Armenian,102,1,Clg of Letters & Science,media studies
30,2017 Spring,10,Armenian,126,1,Clg of Letters & Science,media studies
31,2017 Spring,2,Art Practice,8,1,Clg of Letters & Science,media studies
32,2017 Spring,2,Art Practice,13,1,Clg of Letters & Science,media studies
33,2017 Spring,1,Art Practice,118,1,Clg of Letters & Science,media studies
34,2017 Spring,2,Art Practice,180,1,Clg of Letters & Science,media studies
35,2017 Spring,2,Art Practice,198,5,Clg of Letters & Science,media studies
36,2017 Spring,6,Asian American Studies,132AC,1,Clg of Letters & Science,media studies
37,2017 Spring,13,Asian American Studies,138,1,Clg of Letters & Science,media studies
38,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,media studies
39,2017 Spring,1,Asian American Studies,197,11,Clg of Letters & Science,media studies
40,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,media studies
41,2017 Spring,1,Asian American Studies,198,6,Clg of Letters & Science,media studies
42,2017 Spring,1,Asian Studies,198,1,Clg of Letters & Science,media studies
43,2017 Spring,1,Asian Studies,198,2,Clg of Letters & Science,media studies
44,2017 Spring,2,Asian Studies,198,3,Clg of Letters & Science,media studies
45,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,media studies
46,2017 Spring,2,Asian Studies,198,5,Clg of Letters & Science,media studies
47,2017 Spring,5,Business Admin-Undergrad,96,1,Haas School of Business,media studies
48,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,media studies
49,2017 Spring,2,Business Admin-Undergrad,96,3,Haas School of Business,media studies
50,2017 Spring,2,Business Admin-Undergrad,101B,3,Haas School of Business,media studies
51,2017 Spring,2,Business Admin-Undergrad,101B,4,Haas School of Business,media studies
52,2017 Spring,1,Business Admin-Undergrad,101B,5,Haas School of Business,media studies
53,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,media studies
54,2017 Spring,3,Business Admin-Undergrad,102B,1,Haas School of Business,media studies
55,2017 Spring,1,Business Admin-Undergrad,102B,2,Haas School of Business,media studies
56,2017 Spring,3,Business Admin-Undergrad,103,1,Haas School of Business,media studies
57,2017 Spring,3,Business Admin-Undergrad,103,2,Haas School of Business,media studies
58,2017 Spring,3,Business Admin-Undergrad,104,1,Haas School of Business,media studies
59,2017 Spring,1,Business Admin-Undergrad,105,1,Haas School of Business,media studies
60,2017 Spring,3,Business Admin-Undergrad,105,2,Haas School of Business,media studies
61,2017 Spring,20,Business Admin-Undergrad,106,1,Haas School of Business,media studies
62,2017 Spring,2,Business Admin-Undergrad,107,1,Haas School of Business,media studies
63,2017 Spring,1,Business Admin-Undergrad,127,1,Haas School of Business,media studies
64,2017 Spring,1,Business Admin-Undergrad,152,1,Haas School of Business,media studies
65,2017 Spring,1,Business Admin-Undergrad,152,2,Haas School of Business,media studies
66,2017 Spring,3,Business Admin-Undergrad,155,1,Haas School of Business,media studies
67,2017 Spring,2,Business Admin-Undergrad,157,1,Haas School of Business,media studies
68,2017 Spring,6,Business Admin-Undergrad,160,1,Haas School of Business,media studies
69,2017 Spring,8,Business Admin-Undergrad,161,1,Haas School of Business,media studies
70,2017 Spring,5,Business Admin-Undergrad,167,1,Haas School of Business,media studies
71,2017 Spring,3,Business Admin-Undergrad,C172,1,Haas School of Business,media studies
72,2017 Spring,1,Business Admin-Undergrad,179,1,Haas School of Business,media studies
73,2017 Spring,2,Business Admin-Undergrad,190T,1,Haas School of Business,media studies
