Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,microbial biology
1,2017 Spring,2,Anthropology,1,1,Clg of Letters & Science,microbial biology
2,2017 Spring,1,Architecture,11B,1,Clg of Environmental Design,microbial biology
3,2017 Spring,1,Architecture,160,1,Clg of Environmental Design,microbial biology
4,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,microbial biology
5,2017 Spring,1,Asian American Studies,198,1,Clg of Letters & Science,microbial biology
6,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,microbial biology
7,2017 Spring,1,Bioengineering,24,1,Clg of Engineering,microbial biology
8,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,microbial biology
9,2017 Spring,1,Bioengineering,104,1,Clg of Engineering,microbial biology
10,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,microbial biology
11,2017 Spring,2,Biology,1A,1,Clg of Letters & Science,microbial biology
12,2017 Spring,1,Biology,1A,2,Clg of Letters & Science,microbial biology
13,2017 Spring,2,Biology,1AL,1,Clg of Letters & Science,microbial biology
14,2017 Spring,1,Biology,1AL,2,Clg of Letters & Science,microbial biology
15,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,microbial biology
16,2017 Spring,1,Biology,1B,3,Clg of Letters & Science,microbial biology
17,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,microbial biology
18,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,microbial biology
19,2017 Spring,1,Business Admin-Undergrad,196,1,Haas School of Business,microbial biology
20,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,microbial biology
21,2017 Spring,1,Celtic Studies,125,1,Clg of Letters & Science,microbial biology
22,2017 Spring,3,Chemistry,1A,1,Clg of Chemistry,microbial biology
23,2017 Spring,3,Chemistry,1A,2,Clg of Chemistry,microbial biology
24,2017 Spring,4,Chemistry,1AL,1,Clg of Chemistry,microbial biology
25,2017 Spring,2,Chemistry,1AL,2,Clg of Chemistry,microbial biology
26,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,microbial biology
27,2017 Spring,3,Chemistry,3A,1,Clg of Chemistry,microbial biology
28,2017 Spring,2,Chemistry,3A,2,Clg of Chemistry,microbial biology
29,2017 Spring,1,Chemistry,3AL,1,Clg of Chemistry,microbial biology
30,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,microbial biology
31,2017 Spring,4,Chemistry,3B,1,Clg of Chemistry,microbial biology
32,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,microbial biology
33,2017 Spring,3,Chemistry,3BL,1,Clg of Chemistry,microbial biology
34,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,microbial biology
35,2017 Spring,1,Chemistry,130B,1,Clg of Chemistry,microbial biology
36,2017 Spring,1,Chinese,100YB,1,Clg of Letters & Science,microbial biology
37,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,microbial biology
38,2017 Spring,1,College Writing Programs,50AC,1,Clg of Letters & Science,microbial biology
39,2017 Spring,1,College Writing Programs,161,1,Clg of Letters & Science,microbial biology
40,2017 Spring,3,Computer Science,C8,1,Clg of Engineering,microbial biology
41,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,microbial biology
42,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,microbial biology
43,2017 Spring,1,Computer Science,170,1,Clg of Engineering,microbial biology
44,2017 Spring,2,Computer Science,197,214,Clg of Engineering,microbial biology
45,2017 Spring,1,Computer Science,198,49,Clg of Engineering,microbial biology
46,2017 Spring,1,Computer Science,198,58,Clg of Engineering,microbial biology
47,2017 Spring,1,Design Innovation,198,1,Clg of Engineering,microbial biology
48,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,microbial biology
49,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,microbial biology
50,2017 Spring,1,Earth & Planetary Science,C12,1,Clg of Letters & Science,microbial biology
51,2017 Spring,1,Earth & Planetary Science,39A,1,Clg of Letters & Science,microbial biology
52,2017 Spring,1,Economics,100A,1,Clg of Letters & Science,microbial biology
53,2017 Spring,1,Economics,157,1,Clg of Letters & Science,microbial biology
54,2017 Spring,1,Education,190AC,2,Grad School of Education,microbial biology
55,2017 Spring,1,Education,197,18,Grad School of Education,microbial biology
56,2017 Spring,1,Education,198,22,Grad School of Education,microbial biology
57,2017 Spring,1,Education,198,24,Grad School of Education,microbial biology
58,2017 Spring,1,Education,198,42,Grad School of Education,microbial biology
59,2017 Spring,1,English,R1B,14,Clg of Letters & Science,microbial biology
60,2017 Spring,1,English,R1B,16,Clg of Letters & Science,microbial biology
61,2017 Spring,1,English,119,1,Clg of Letters & Science,microbial biology
62,2017 Spring,1,English,166,4,Clg of Letters & Science,microbial biology
63,2017 Spring,1,"Env Sci, Policy, & Mgmt",24,1,Clg of Natural Resources,microbial biology
64,2017 Spring,3,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,microbial biology
65,2017 Spring,1,"Env Sci, Policy, & Mgmt",90,1,Clg of Natural Resources,microbial biology
66,2017 Spring,18,"Env Sci, Policy, & Mgmt",112,1,Clg of Natural Resources,microbial biology
67,2017 Spring,2,"Env Sci, Policy, & Mgmt",112L,1,Clg of Natural Resources,microbial biology
68,2017 Spring,6,"Env Sci, Policy, & Mgmt",131,1,Clg of Natural Resources,microbial biology
69,2017 Spring,1,"Env Sci, Policy, & Mgmt",132,1,Clg of Natural Resources,microbial biology
70,2017 Spring,8,"Env Sci, Policy, & Mgmt",134,1,Clg of Natural Resources,microbial biology
71,2017 Spring,1,"Env Sci, Policy, & Mgmt",144,1,Clg of Natural Resources,microbial biology
72,2017 Spring,1,"Env Sci, Policy, & Mgmt",152,1,Clg of Natural Resources,microbial biology
73,2017 Spring,1,"Env Sci, Policy, & Mgmt",165,1,Clg of Natural Resources,microbial biology
74,2017 Spring,4,"Env Sci, Policy, & Mgmt",C192,1,Clg of Natural Resources,microbial biology
75,2017 Spring,1,"Env Sci, Policy, & Mgmt",197,28,Clg of Natural Resources,microbial biology
76,2017 Spring,1,Environ Econ & Policy,100,1,Clg of Natural Resources,microbial biology
77,2017 Spring,2,Environ Econ & Policy,C101,1,Clg of Natural Resources,microbial biology
78,2017 Spring,1,Environ Econ & Policy,C118,1,Clg of Natural Resources,microbial biology
79,2017 Spring,1,Environ Econ & Policy,143,1,Clg of Natural Resources,microbial biology
80,2017 Spring,1,Ethnic Studies,11AC,1,Clg of Letters & Science,microbial biology
81,2017 Spring,1,Film,R1B,2,Clg of Letters & Science,microbial biology
82,2017 Spring,1,Gender & Womens Studies,14,1,Clg of Letters & Science,microbial biology
83,2017 Spring,1,Geography,70AC,1,Clg of Letters & Science,microbial biology
84,2017 Spring,2,Geography,130,1,Clg of Letters & Science,microbial biology
85,2017 Spring,1,German,1,3,Clg of Letters & Science,microbial biology
86,2017 Spring,1,Health & Medical Sciences,C133,1,School of Public Health,microbial biology
87,2017 Spring,1,History,101,1,Clg of Letters & Science,microbial biology
88,2017 Spring,1,History,124B,1,Clg of Letters & Science,microbial biology
89,2017 Spring,1,History,C191,1,Clg of Letters & Science,microbial biology
90,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,microbial biology
91,2017 Spring,1,Industrial Eng & Ops Rsch,185,2,Clg of Engineering,microbial biology
92,2017 Spring,1,Industrial Eng & Ops Rsch,195,1,Clg of Engineering,microbial biology
93,2017 Spring,1,Integrative Biology,24,6,Clg of Letters & Science,microbial biology
94,2017 Spring,1,Integrative Biology,95,1,Clg of Letters & Science,microbial biology
95,2017 Spring,1,Integrative Biology,114,1,Clg of Letters & Science,microbial biology
96,2017 Spring,2,Integrative Biology,132,1,Clg of Letters & Science,microbial biology
97,2017 Spring,1,Integrative Biology,132L,4,Clg of Letters & Science,microbial biology
98,2017 Spring,1,Integrative Biology,132L,7,Clg of Letters & Science,microbial biology
99,2017 Spring,1,Integrative Biology,140,1,Clg of Letters & Science,microbial biology
100,2017 Spring,2,Integrative Biology,C143B,1,Clg of Letters & Science,microbial biology
101,2017 Spring,4,Integrative Biology,161,1,Clg of Letters & Science,microbial biology
102,2017 Spring,1,Integrative Biology,169,1,Clg of Letters & Science,microbial biology
103,2017 Spring,1,Integrative Biology,172,1,Clg of Letters & Science,microbial biology
104,2017 Spring,1,Interdisciplinary Studies,61,1,Clg of Letters & Science,microbial biology
105,2017 Spring,1,Italian Studies,2,1,Clg of Letters & Science,microbial biology
106,2017 Spring,1,Japanese,80,1,Clg of Letters & Science,microbial biology
107,2017 Spring,1,Legal Studies,154,1,School of Law,microbial biology
108,2017 Spring,1,Legal Studies,177,1,School of Law,microbial biology
109,2017 Spring,1,Letters & Science,C30Z,1,Clg of Letters & Science,microbial biology
110,2017 Spring,2,Mathematics,1B,1,Clg of Letters & Science,microbial biology
111,2017 Spring,2,Mathematics,10B,1,Clg of Letters & Science,microbial biology
112,2017 Spring,4,Mathematics,10B,2,Clg of Letters & Science,microbial biology
113,2017 Spring,2,Mathematics,16A,1,Clg of Letters & Science,microbial biology
114,2017 Spring,3,Mathematics,16B,1,Clg of Letters & Science,microbial biology
115,2017 Spring,1,Mathematics,16B,2,Clg of Letters & Science,microbial biology
116,2017 Spring,1,Mathematics,54,2,Clg of Letters & Science,microbial biology
117,2017 Spring,1,Mathematics,98,22,Clg of Letters & Science,microbial biology
118,2017 Spring,1,Mathematics,98,34,Clg of Letters & Science,microbial biology
