Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,98BC,1,Clg of Letters & Science,molecular environmental biology
1,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,molecular environmental biology
2,2017 Spring,1,African American Studies,197,3,Clg of Letters & Science,molecular environmental biology
3,2017 Spring,1,African American Studies,198,2,Clg of Letters & Science,molecular environmental biology
4,2017 Spring,3,Anthropology,1,1,Clg of Letters & Science,molecular environmental biology
5,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,molecular environmental biology
6,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,molecular environmental biology
7,2017 Spring,1,Anthropology,128,1,Clg of Letters & Science,molecular environmental biology
8,2017 Spring,2,Anthropology,137,1,Clg of Letters & Science,molecular environmental biology
9,2017 Spring,1,Anthropology,189,1,Clg of Letters & Science,molecular environmental biology
10,2017 Spring,1,Anthropology,196,1,Clg of Letters & Science,molecular environmental biology
11,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,molecular environmental biology
12,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,molecular environmental biology
13,2017 Spring,1,Art Practice,8,1,Clg of Letters & Science,molecular environmental biology
14,2017 Spring,1,Art Practice,13,2,Clg of Letters & Science,molecular environmental biology
15,2017 Spring,1,Art Practice,15,1,Clg of Letters & Science,molecular environmental biology
16,2017 Spring,1,Art Practice,123,1,Clg of Letters & Science,molecular environmental biology
17,2017 Spring,1,Asian American Studies,R2A,1,Clg of Letters & Science,molecular environmental biology
18,2017 Spring,1,Asian American Studies,R2B,1,Clg of Letters & Science,molecular environmental biology
19,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,molecular environmental biology
20,2017 Spring,1,Asian American Studies,197,1,Clg of Letters & Science,molecular environmental biology
21,2017 Spring,1,Asian American Studies,198,1,Clg of Letters & Science,molecular environmental biology
22,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,molecular environmental biology
23,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,molecular environmental biology
24,2017 Spring,20,Biology,1A,1,Clg of Letters & Science,molecular environmental biology
25,2017 Spring,12,Biology,1A,2,Clg of Letters & Science,molecular environmental biology
26,2017 Spring,28,Biology,1AL,1,Clg of Letters & Science,molecular environmental biology
27,2017 Spring,5,Biology,1AL,2,Clg of Letters & Science,molecular environmental biology
28,2017 Spring,15,Biology,1B,1,Clg of Letters & Science,molecular environmental biology
29,2017 Spring,9,Biology,1B,2,Clg of Letters & Science,molecular environmental biology
30,2017 Spring,2,Biology,1B,3,Clg of Letters & Science,molecular environmental biology
31,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,molecular environmental biology
32,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,molecular environmental biology
33,2017 Spring,2,Business Admin-Undergrad,170,1,Haas School of Business,molecular environmental biology
34,2017 Spring,1,Business Admin-Undergrad,191P,1,Haas School of Business,molecular environmental biology
35,2017 Spring,1,Business Admin-Undergrad,192N,1,Haas School of Business,molecular environmental biology
36,2017 Spring,3,Business Admin-Undergrad,196,2,Haas School of Business,molecular environmental biology
37,2017 Spring,1,Business Admin-Undergrad,198,8,Haas School of Business,molecular environmental biology
38,2017 Spring,1,Celtic Studies,R1B,1,Clg of Letters & Science,molecular environmental biology
39,2017 Spring,2,Chemical Engineering,198,3,Clg of Chemistry,molecular environmental biology
40,2017 Spring,15,Chemistry,1A,1,Clg of Chemistry,molecular environmental biology
41,2017 Spring,13,Chemistry,1A,2,Clg of Chemistry,molecular environmental biology
42,2017 Spring,12,Chemistry,1AL,1,Clg of Chemistry,molecular environmental biology
43,2017 Spring,15,Chemistry,1AL,2,Clg of Chemistry,molecular environmental biology
44,2017 Spring,3,Chemistry,1B,1,Clg of Chemistry,molecular environmental biology
45,2017 Spring,8,Chemistry,3A,1,Clg of Chemistry,molecular environmental biology
46,2017 Spring,23,Chemistry,3A,2,Clg of Chemistry,molecular environmental biology
47,2017 Spring,16,Chemistry,3AL,1,Clg of Chemistry,molecular environmental biology
48,2017 Spring,10,Chemistry,3AL,2,Clg of Chemistry,molecular environmental biology
