Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Art Practice,102,1,Clg of Letters & Science,molecular toxicology
1,2017 Spring,1,Art Practice,185,1,Clg of Letters & Science,molecular toxicology
2,2017 Spring,2,Bioengineering,25,1,Clg of Engineering,molecular toxicology
3,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,molecular toxicology
4,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,molecular toxicology
5,2017 Spring,1,"Env Sci, Policy, & Mgmt",144,1,Clg of Natural Resources,molecular toxicology
6,2017 Spring,1,"Env Sci, Policy, & Mgmt",C167,1,Clg of Natural Resources,molecular toxicology
7,2017 Spring,1,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,molecular toxicology
8,2017 Spring,1,Environ Econ & Policy,C118,1,Clg of Natural Resources,molecular toxicology
9,2017 Spring,1,Environ Econ & Policy,143,1,Clg of Natural Resources,molecular toxicology
10,2017 Spring,2,Letters & Science,C180U,1,Clg of Letters & Science,molecular toxicology
11,2017 Spring,1,Molecular & Cell Biology,C103,1,Clg of Letters & Science,molecular toxicology
12,2017 Spring,2,Molecular & Cell Biology,118,1,Clg of Letters & Science,molecular toxicology
13,2017 Spring,1,Molecular & Cell Biology,C148,1,Clg of Letters & Science,molecular toxicology
14,2017 Spring,1,Music,29,1,Clg of Letters & Science,molecular toxicology
15,2017 Spring,1,Native American Studies,173AC,1,Clg of Letters & Science,molecular toxicology
16,2017 Spring,2,Nutritional Science & Tox,115,1,Clg of Natural Resources,molecular toxicology
17,2017 Spring,4,Nutritional Science & Tox,121,1,Clg of Natural Resources,molecular toxicology
18,2017 Spring,1,Nutritional Science & Tox,160,1,Clg of Natural Resources,molecular toxicology
19,2017 Spring,2,Nutritional Science & Tox,193,1,Clg of Natural Resources,molecular toxicology
20,2017 Spring,1,Physics,8B,2,Clg of Letters & Science,molecular toxicology
