Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,music
1,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,music
2,2017 Spring,1,Bioengineering,104,1,Clg of Engineering,music
3,2017 Spring,1,Bioengineering,110,1,Clg of Engineering,music
4,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,music
5,2017 Spring,2,Biology,1B,1,Clg of Letters & Science,music
6,2017 Spring,1,Buddhist Studies,190,1,Clg of Letters & Science,music
7,2017 Spring,1,Business Admin-Undergrad,118,1,Haas School of Business,music
8,2017 Spring,1,Business Admin-Undergrad,119,1,Haas School of Business,music
9,2017 Spring,1,Business Admin-Undergrad,C172,1,Haas School of Business,music
10,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,music
11,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,music
12,2017 Spring,1,Chemistry,105,1,Clg of Chemistry,music
13,2017 Spring,1,Chemistry,112B,1,Clg of Chemistry,music
14,2017 Spring,1,Chemistry,114,1,Clg of Chemistry,music
15,2017 Spring,1,Chinese,1A,2,Clg of Letters & Science,music
16,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,music
17,2017 Spring,1,Classics,35,1,Clg of Letters & Science,music
18,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,music
19,2017 Spring,2,Computer Science,161,1,Clg of Engineering,music
20,2017 Spring,3,Computer Science,170,1,Clg of Engineering,music
21,2017 Spring,1,Computer Science,184,1,Clg of Engineering,music
22,2017 Spring,1,Computer Science,189,1,Clg of Engineering,music
23,2017 Spring,1,Computer Science,195,1,Clg of Engineering,music
24,2017 Spring,1,Computer Science,198,72,Clg of Engineering,music
25,2017 Spring,1,Economics,100A,1,Clg of Letters & Science,music
26,2017 Spring,1,Economics,101B,1,Clg of Letters & Science,music
27,2017 Spring,1,Economics,191,1,Clg of Letters & Science,music
28,2017 Spring,1,Electrical Engineering,16A,1,Clg of Engineering,music
29,2017 Spring,1,English,45C,1,Clg of Letters & Science,music
30,2017 Spring,1,English,111,1,Clg of Letters & Science,music
31,2017 Spring,1,"Env Sci, Policy, & Mgmt",C10,1,Clg of Natural Resources,music
32,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,music
33,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,music
34,2017 Spring,1,"Env Sci, Policy, & Mgmt",158,1,Clg of Natural Resources,music
35,2017 Spring,1,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,music
36,2017 Spring,1,"Env Sci, Policy, & Mgmt",194A,2,Clg of Natural Resources,music
37,2017 Spring,1,Film,25B,1,Clg of Letters & Science,music
38,2017 Spring,1,Film,108,3,Clg of Letters & Science,music
39,2017 Spring,3,Film,140,1,Clg of Letters & Science,music
40,2017 Spring,1,Film,140,2,Clg of Letters & Science,music
41,2017 Spring,1,Film,160,2,Clg of Letters & Science,music
42,2017 Spring,1,Gender & Womens Studies,198,4,Clg of Letters & Science,music
43,2017 Spring,1,Geography,70AC,1,Clg of Letters & Science,music
44,2017 Spring,1,German,2,1,Clg of Letters & Science,music
45,2017 Spring,1,German,3,1,Clg of Letters & Science,music
46,2017 Spring,1,German,157A,1,Clg of Letters & Science,music
47,2017 Spring,1,Health & Medical Sciences,C133,1,School of Public Health,music
48,2017 Spring,1,History,117A,1,Clg of Letters & Science,music
49,2017 Spring,1,History,186,1,Clg of Letters & Science,music
50,2017 Spring,1,Integrative Biology,131L,3,Clg of Letters & Science,music
51,2017 Spring,1,Integrative Biology,138,1,Clg of Letters & Science,music
52,2017 Spring,1,Italian Studies,1,1,Clg of Letters & Science,music
53,2017 Spring,1,Landscape Arch & Env Plan,1,1,Clg of Environmental Design,music
54,2017 Spring,1,Legal Studies,139,1,School of Law,music
