Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,nst dietetics
1,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,nst dietetics
2,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,nst dietetics
3,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,nst dietetics
4,2017 Spring,1,Business Admin-Undergrad,103,1,Haas School of Business,nst dietetics
5,2017 Spring,1,Business Admin-Undergrad,190T,3,Haas School of Business,nst dietetics
6,2017 Spring,1,Chinese,155,1,Clg of Letters & Science,nst dietetics
7,2017 Spring,1,Comparative Literature,171,1,Clg of Letters & Science,nst dietetics
8,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,nst dietetics
9,2017 Spring,1,Computer Science,198,56,Clg of Engineering,nst dietetics
10,2017 Spring,1,Computer Science,198,303,Clg of Engineering,nst dietetics
11,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,nst dietetics
12,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,nst dietetics
13,2017 Spring,1,Education,197,12,Grad School of Education,nst dietetics
14,2017 Spring,1,"Env Sci, Policy, & Mgmt",C10,1,Clg of Natural Resources,nst dietetics
15,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,nst dietetics
16,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,8,Clg of Natural Resources,nst dietetics
17,2017 Spring,1,"Env Sci, Policy, & Mgmt",198BC,2,Clg of Natural Resources,nst dietetics
18,2017 Spring,1,Ethnic Studies,197,12,Clg of Letters & Science,nst dietetics
19,2017 Spring,1,French,1,6,Clg of Letters & Science,nst dietetics
20,2017 Spring,1,French,13,1,Clg of Letters & Science,nst dietetics
21,2017 Spring,2,French,178B,1,Clg of Letters & Science,nst dietetics
22,2017 Spring,1,Gender & Womens Studies,10,1,Clg of Letters & Science,nst dietetics
23,2017 Spring,1,Global Poverty & Practice,105,2,Clg of Letters & Science,nst dietetics
24,2017 Spring,1,Global Studies,110Q,1,Clg of Letters & Science,nst dietetics
25,2017 Spring,1,History,7B,1,Clg of Letters & Science,nst dietetics
26,2017 Spring,1,History,198BC,1,Clg of Letters & Science,nst dietetics
27,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,nst dietetics
28,2017 Spring,1,Industrial Eng & Ops Rsch,95,1,Clg of Engineering,nst dietetics
29,2017 Spring,1,Industrial Eng & Ops Rsch,185,1,Clg of Engineering,nst dietetics
30,2017 Spring,1,Industrial Eng & Ops Rsch,185,2,Clg of Engineering,nst dietetics
31,2017 Spring,1,Industrial Eng & Ops Rsch,195,1,Clg of Engineering,nst dietetics
32,2017 Spring,1,Integrative Biology,140,1,Clg of Letters & Science,nst dietetics
33,2017 Spring,1,Integrative Biology,194,310,Clg of Letters & Science,nst dietetics
34,2017 Spring,2,Integrative Biology,198,1,Clg of Letters & Science,nst dietetics
35,2017 Spring,2,Integrative Biology,198,6,Clg of Letters & Science,nst dietetics
36,2017 Spring,1,Italian Studies,1,1,Clg of Letters & Science,nst dietetics
37,2017 Spring,1,Japanese,10B,3,Clg of Letters & Science,nst dietetics
38,2017 Spring,1,Japanese,188,1,Clg of Letters & Science,nst dietetics
39,2017 Spring,1,Letters & Science,C180U,1,Clg of Letters & Science,nst dietetics
40,2017 Spring,1,Mathematics,16A,1,Clg of Letters & Science,nst dietetics
41,2017 Spring,1,Mathematics,98,26,Clg of Letters & Science,nst dietetics
42,2017 Spring,1,Molecular & Cell Biology,88,1,Clg of Letters & Science,nst dietetics
43,2017 Spring,1,Molecular & Cell Biology,198,9,Clg of Letters & Science,nst dietetics
44,2017 Spring,1,Molecular & Cell Biology,198,12,Clg of Letters & Science,nst dietetics
45,2017 Spring,3,Music,26AC,1,Clg of Letters & Science,nst dietetics
46,2017 Spring,1,Music,140,3,Clg of Letters & Science,nst dietetics
47,2017 Spring,1,Music,141,1,Clg of Letters & Science,nst dietetics
48,2017 Spring,1,Music,142,2,Clg of Letters & Science,nst dietetics
49,2017 Spring,1,Music,145,1,Clg of Letters & Science,nst dietetics
50,2017 Spring,1,Music,198,10,Clg of Letters & Science,nst dietetics
51,2017 Spring,5,Nutritional Science & Tox,11,1,Clg of Natural Resources,nst dietetics
52,2017 Spring,2,Nutritional Science & Tox,20,1,Clg of Natural Resources,nst dietetics
53,2017 Spring,23,Nutritional Science & Tox,104,1,Clg of Natural Resources,nst dietetics
54,2017 Spring,2,Nutritional Science & Tox,115,1,Clg of Natural Resources,nst dietetics
55,2017 Spring,28,Nutritional Science & Tox,135,1,Clg of Natural Resources,nst dietetics
56,2017 Spring,25,Nutritional Science & Tox,145,1,Clg of Natural Resources,nst dietetics
57,2017 Spring,31,Nutritional Science & Tox,160,1,Clg of Natural Resources,nst dietetics
58,2017 Spring,25,Nutritional Science & Tox,161B,1,Clg of Natural Resources,nst dietetics
59,2017 Spring,26,Nutritional Science & Tox,194,1,Clg of Natural Resources,nst dietetics
60,2017 Spring,3,Nutritional Science & Tox,197,6,Clg of Natural Resources,nst dietetics
61,2017 Spring,1,Nutritional Science & Tox,198,4,Clg of Natural Resources,nst dietetics
62,2017 Spring,1,Philosophy,110,1,Clg of Letters & Science,nst dietetics
63,2017 Spring,1,Philosophy,132,1,Clg of Letters & Science,nst dietetics
64,2017 Spring,1,Physical Education,1,5,Clg of Letters & Science,nst dietetics
65,2017 Spring,1,Physical Education,1,10,Clg of Letters & Science,nst dietetics
66,2017 Spring,1,Physical Education,1,14,Clg of Letters & Science,nst dietetics
67,2017 Spring,1,Physical Education,1,18,Clg of Letters & Science,nst dietetics
68,2017 Spring,1,Physical Education,2,5,Clg of Letters & Science,nst dietetics
69,2017 Spring,1,Physical Education,2,12,Clg of Letters & Science,nst dietetics
70,2017 Spring,1,Physical Education,3,12,Clg of Letters & Science,nst dietetics
71,2017 Spring,1,Physical Education,98,1,Clg of Letters & Science,nst dietetics
72,2017 Spring,2,Psychology,130,1,Clg of Letters & Science,nst dietetics
73,2017 Spring,1,Psychology,133,1,Clg of Letters & Science,nst dietetics
74,2017 Spring,1,Psychology,198,1,Clg of Letters & Science,nst dietetics
75,2017 Spring,3,Public Health,170C,1,School of Public Health,nst dietetics
76,2017 Spring,2,Public Health,196,2,School of Public Health,nst dietetics
77,2017 Spring,3,Public Health,196,8,School of Public Health,nst dietetics
78,2017 Spring,1,Public Health,198,4,School of Public Health,nst dietetics
79,2017 Spring,1,Public Health,198,5,School of Public Health,nst dietetics
80,2017 Spring,1,Public Health,198,52,School of Public Health,nst dietetics
81,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,nst dietetics
82,2017 Spring,1,Scandinavian,198,4,Clg of Letters & Science,nst dietetics
83,2017 Spring,1,Sociology,C115,1,Clg of Letters & Science,nst dietetics
84,2017 Spring,2,Sociology,198,9,Clg of Letters & Science,nst dietetics
85,2017 Spring,1,Spanish,3,1,Clg of Letters & Science,nst dietetics
86,2017 Spring,1,UGIS-UG Interdisc Studies,198,3,Clg of Letters & Science,nst dietetics
