Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,nst nutritional science
1,2017 Spring,1,African American Studies,117,1,Clg of Letters & Science,nst nutritional science
2,2017 Spring,1,African American Studies,198,2,Clg of Letters & Science,nst nutritional science
3,2017 Spring,3,Anthropology,2AC,1,Clg of Letters & Science,nst nutritional science
4,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,nst nutritional science
5,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,nst nutritional science
6,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,nst nutritional science
7,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,nst nutritional science
8,2017 Spring,1,Asian American Studies,194B,1,Clg of Letters & Science,nst nutritional science
9,2017 Spring,1,Asian American Studies,197,13,Clg of Letters & Science,nst nutritional science
10,2017 Spring,1,Asian American Studies,198,1,Clg of Letters & Science,nst nutritional science
11,2017 Spring,23,Biology,1A,1,Clg of Letters & Science,nst nutritional science
12,2017 Spring,8,Biology,1A,2,Clg of Letters & Science,nst nutritional science
13,2017 Spring,29,Biology,1AL,1,Clg of Letters & Science,nst nutritional science
14,2017 Spring,2,Biology,1AL,2,Clg of Letters & Science,nst nutritional science
15,2017 Spring,3,Biology,1B,1,Clg of Letters & Science,nst nutritional science
16,2017 Spring,2,Biology,1B,2,Clg of Letters & Science,nst nutritional science
17,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,nst nutritional science
18,2017 Spring,1,Business Admin-Undergrad,C5,1,Haas School of Business,nst nutritional science
19,2017 Spring,1,Business Admin-Undergrad,10,1,Haas School of Business,nst nutritional science
20,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,nst nutritional science
21,2017 Spring,7,Business Admin-Undergrad,196,2,Haas School of Business,nst nutritional science
22,2017 Spring,1,Business Admin-Undergrad,198,8,Haas School of Business,nst nutritional science
23,2017 Spring,1,Celtic Studies,R1B,1,Clg of Letters & Science,nst nutritional science
24,2017 Spring,9,Chemistry,1A,1,Clg of Chemistry,nst nutritional science
25,2017 Spring,7,Chemistry,1A,2,Clg of Chemistry,nst nutritional science
26,2017 Spring,3,Chemistry,1AL,1,Clg of Chemistry,nst nutritional science
27,2017 Spring,9,Chemistry,1AL,2,Clg of Chemistry,nst nutritional science
28,2017 Spring,15,Chemistry,3A,1,Clg of Chemistry,nst nutritional science
29,2017 Spring,5,Chemistry,3A,2,Clg of Chemistry,nst nutritional science
30,2017 Spring,13,Chemistry,3AL,1,Clg of Chemistry,nst nutritional science
31,2017 Spring,4,Chemistry,3AL,2,Clg of Chemistry,nst nutritional science
32,2017 Spring,6,Chemistry,3B,1,Clg of Chemistry,nst nutritional science
33,2017 Spring,9,Chemistry,3B,2,Clg of Chemistry,nst nutritional science
34,2017 Spring,6,Chemistry,3BL,1,Clg of Chemistry,nst nutritional science
35,2017 Spring,3,Chemistry,3BL,2,Clg of Chemistry,nst nutritional science
36,2017 Spring,1,Chicano Studies,50,1,Clg of Letters & Science,nst nutritional science
37,2017 Spring,1,Chinese,10Y,1,Clg of Letters & Science,nst nutritional science
38,2017 Spring,1,Chinese,10Y,2,Clg of Letters & Science,nst nutritional science
39,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,nst nutritional science
40,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,nst nutritional science
41,2017 Spring,1,Classics,24,1,Clg of Letters & Science,nst nutritional science
42,2017 Spring,1,Classics,28,1,Clg of Letters & Science,nst nutritional science
43,2017 Spring,1,Classics,35,1,Clg of Letters & Science,nst nutritional science
44,2017 Spring,1,Classics,170A,1,Clg of Letters & Science,nst nutritional science
45,2017 Spring,2,Cognitive Science,198,1,Clg of Letters & Science,nst nutritional science
46,2017 Spring,1,Cognitive Science,198,5,Clg of Letters & Science,nst nutritional science
47,2017 Spring,1,College Writing Programs,R1A,1,Clg of Letters & Science,nst nutritional science
48,2017 Spring,1,College Writing Programs,R1A,2,Clg of Letters & Science,nst nutritional science
49,2017 Spring,1,College Writing Programs,R1A,8,Clg of Letters & Science,nst nutritional science
50,2017 Spring,1,College Writing Programs,R1A,19,Clg of Letters & Science,nst nutritional science
51,2017 Spring,1,College Writing Programs,R1A,25,Clg of Letters & Science,nst nutritional science
52,2017 Spring,1,College Writing Programs,R4B,5,Clg of Letters & Science,nst nutritional science
53,2017 Spring,1,College Writing Programs,106,1,Clg of Letters & Science,nst nutritional science
54,2017 Spring,1,Comparative Literature,R1B,9,Clg of Letters & Science,nst nutritional science
55,2017 Spring,1,Comparative Literature,R1B,11,Clg of Letters & Science,nst nutritional science
56,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,nst nutritional science
