Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,African American Studies,197,3,Clg of Letters & Science,nst physiology and metabolism
1,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,nst physiology and metabolism
2,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,nst physiology and metabolism
3,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,nst physiology and metabolism
4,2017 Spring,1,Asian American Studies,138,1,Clg of Letters & Science,nst physiology and metabolism
5,2017 Spring,1,Asian American Studies,151AC,1,Clg of Letters & Science,nst physiology and metabolism
6,2017 Spring,1,Asian American Studies,198,3,Clg of Letters & Science,nst physiology and metabolism
7,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,nst physiology and metabolism
8,2017 Spring,4,Biology,1A,1,Clg of Letters & Science,nst physiology and metabolism
9,2017 Spring,2,Biology,1A,2,Clg of Letters & Science,nst physiology and metabolism
10,2017 Spring,6,Biology,1AL,1,Clg of Letters & Science,nst physiology and metabolism
11,2017 Spring,3,Biology,1B,1,Clg of Letters & Science,nst physiology and metabolism
12,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,nst physiology and metabolism
13,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,nst physiology and metabolism
14,2017 Spring,2,Business Admin-Undergrad,96,1,Haas School of Business,nst physiology and metabolism
15,2017 Spring,1,Business Admin-Undergrad,105,1,Haas School of Business,nst physiology and metabolism
16,2017 Spring,1,Business Admin-Undergrad,155,1,Haas School of Business,nst physiology and metabolism
17,2017 Spring,1,Business Admin-Undergrad,160,1,Haas School of Business,nst physiology and metabolism
18,2017 Spring,1,Business Admin-Undergrad,161,1,Haas School of Business,nst physiology and metabolism
19,2017 Spring,4,Business Admin-Undergrad,196,2,Haas School of Business,nst physiology and metabolism
20,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,nst physiology and metabolism
21,2017 Spring,2,Chemistry,3B,2,Clg of Chemistry,nst physiology and metabolism
22,2017 Spring,2,Chemistry,3BL,1,Clg of Chemistry,nst physiology and metabolism
23,2017 Spring,2,Chemistry,3BL,2,Clg of Chemistry,nst physiology and metabolism
24,2017 Spring,1,Chemistry,104B,1,Clg of Chemistry,nst physiology and metabolism
25,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,nst physiology and metabolism
26,2017 Spring,1,Chinese,1B,3,Clg of Letters & Science,nst physiology and metabolism
27,2017 Spring,1,Chinese,10Y,1,Clg of Letters & Science,nst physiology and metabolism
28,2017 Spring,1,Computer Science,198,56,Clg of Engineering,nst physiology and metabolism
29,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,nst physiology and metabolism
30,2017 Spring,1,Economics,1,1,Clg of Letters & Science,nst physiology and metabolism
31,2017 Spring,1,Education,130,1,Grad School of Education,nst physiology and metabolism
32,2017 Spring,1,Education,140AC,3,Grad School of Education,nst physiology and metabolism
33,2017 Spring,1,Education,182AC,1,Grad School of Education,nst physiology and metabolism
34,2017 Spring,1,Education,188F,1,Grad School of Education,nst physiology and metabolism
35,2017 Spring,1,English,28,1,Clg of Letters & Science,nst physiology and metabolism
36,2017 Spring,1,English,180A,1,Clg of Letters & Science,nst physiology and metabolism
37,2017 Spring,1,English,198,3,Clg of Letters & Science,nst physiology and metabolism
38,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,nst physiology and metabolism
39,2017 Spring,1,"Env Sci, Policy, & Mgmt",90,1,Clg of Natural Resources,nst physiology and metabolism
40,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,5,Clg of Natural Resources,nst physiology and metabolism
41,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,nst physiology and metabolism
42,2017 Spring,1,"Env Sci, Policy, & Mgmt",C148,1,Clg of Natural Resources,nst physiology and metabolism
43,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,nst physiology and metabolism
44,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,14,Clg of Natural Resources,nst physiology and metabolism
45,2017 Spring,1,"Env Sci, Policy, & Mgmt",198BC,3,Clg of Natural Resources,nst physiology and metabolism
46,2017 Spring,1,Ethnic Studies,197,12,Clg of Letters & Science,nst physiology and metabolism
47,2017 Spring,2,Ethnic Studies,198,5,Clg of Letters & Science,nst physiology and metabolism
48,2017 Spring,1,Filipino,1B,2,Clg of Letters & Science,nst physiology and metabolism
49,2017 Spring,1,Filipino,100B,1,Clg of Letters & Science,nst physiology and metabolism
50,2017 Spring,1,Filipino,W101B,1,Clg of Letters & Science,nst physiology and metabolism
51,2017 Spring,1,Gender & Womens Studies,134,1,Clg of Letters & Science,nst physiology and metabolism
52,2017 Spring,2,Geography,130,1,Clg of Letters & Science,nst physiology and metabolism
53,2017 Spring,1,German,101,1,Clg of Letters & Science,nst physiology and metabolism
54,2017 Spring,1,German,102A,1,Clg of Letters & Science,nst physiology and metabolism
55,2017 Spring,1,Health & Medical Sciences,C133,1,School of Public Health,nst physiology and metabolism
56,2017 Spring,1,History,C191,1,Clg of Letters & Science,nst physiology and metabolism
57,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,nst physiology and metabolism
58,2017 Spring,2,Integrative Biology,104LF,1,Clg of Letters & Science,nst physiology and metabolism
59,2017 Spring,1,Integrative Biology,C129L,1,Clg of Letters & Science,nst physiology and metabolism
60,2017 Spring,1,Integrative Biology,131L,4,Clg of Letters & Science,nst physiology and metabolism
61,2017 Spring,3,Integrative Biology,132,1,Clg of Letters & Science,nst physiology and metabolism
62,2017 Spring,1,Integrative Biology,132L,2,Clg of Letters & Science,nst physiology and metabolism
63,2017 Spring,1,Integrative Biology,132L,3,Clg of Letters & Science,nst physiology and metabolism
64,2017 Spring,1,Integrative Biology,132L,6,Clg of Letters & Science,nst physiology and metabolism
65,2017 Spring,1,Integrative Biology,138,1,Clg of Letters & Science,nst physiology and metabolism
66,2017 Spring,9,Integrative Biology,140,1,Clg of Letters & Science,nst physiology and metabolism
67,2017 Spring,2,Integrative Biology,C143B,1,Clg of Letters & Science,nst physiology and metabolism
68,2017 Spring,2,Integrative Biology,150,1,Clg of Letters & Science,nst physiology and metabolism
69,2017 Spring,5,Integrative Biology,169,1,Clg of Letters & Science,nst physiology and metabolism
70,2017 Spring,1,Integrative Biology,194,210,Clg of Letters & Science,nst physiology and metabolism
71,2017 Spring,3,Integrative Biology,198,4,Clg of Letters & Science,nst physiology and metabolism
72,2017 Spring,3,Integrative Biology,198,6,Clg of Letters & Science,nst physiology and metabolism
73,2017 Spring,1,Japanese,10B,1,Clg of Letters & Science,nst physiology and metabolism
74,2017 Spring,1,Japanese,10B,2,Clg of Letters & Science,nst physiology and metabolism
