Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,nst toxicology
1,2017 Spring,1,Art Practice,120,1,Clg of Letters & Science,nst toxicology
2,2017 Spring,1,Asian American Studies,198,6,Clg of Letters & Science,nst toxicology
3,2017 Spring,1,Bioengineering,198,16,Clg of Engineering,nst toxicology
4,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,nst toxicology
5,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,nst toxicology
6,2017 Spring,1,Business Admin-Undergrad,190T,2,Haas School of Business,nst toxicology
7,2017 Spring,1,Chemistry,3B,1,Clg of Chemistry,nst toxicology
8,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,nst toxicology
9,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,nst toxicology
10,2017 Spring,1,Chemistry,C130,1,Clg of Chemistry,nst toxicology
11,2017 Spring,1,Chemistry,130B,1,Clg of Chemistry,nst toxicology
12,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,nst toxicology
13,2017 Spring,1,Chinese,10Y,1,Clg of Letters & Science,nst toxicology
14,2017 Spring,2,College Writing Programs,10A,1,Clg of Letters & Science,nst toxicology
15,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,nst toxicology
16,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,nst toxicology
17,2017 Spring,2,Economics,1,1,Clg of Letters & Science,nst toxicology
18,2017 Spring,1,Education,197,18,Grad School of Education,nst toxicology
19,2017 Spring,1,Education,198,9,Grad School of Education,nst toxicology
20,2017 Spring,1,"Env Sci, Policy, & Mgmt",132,1,Clg of Natural Resources,nst toxicology
21,2017 Spring,1,"Env Sci, Policy, & Mgmt",C138,1,Clg of Natural Resources,nst toxicology
22,2017 Spring,3,"Env Sci, Policy, & Mgmt",144,1,Clg of Natural Resources,nst toxicology
23,2017 Spring,1,"Env Sci, Policy, & Mgmt",C148,1,Clg of Natural Resources,nst toxicology
24,2017 Spring,1,"Env Sci, Policy, & Mgmt",C180,1,Clg of Natural Resources,nst toxicology
25,2017 Spring,1,Ethnic Studies,144AC,1,Clg of Letters & Science,nst toxicology
