Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,nuclear engineering
1,2017 Spring,1,Asian American Studies,197,8,Clg of Letters & Science,nuclear engineering
2,2017 Spring,1,Asian Studies,198,1,Clg of Letters & Science,nuclear engineering
3,2017 Spring,1,Bioengineering,104,1,Clg of Engineering,nuclear engineering
4,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,nuclear engineering
5,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,nuclear engineering
6,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,nuclear engineering
7,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,nuclear engineering
8,2017 Spring,1,Chemical Engineering,150A,1,Clg of Chemistry,nuclear engineering
9,2017 Spring,1,Chemistry,112B,1,Clg of Chemistry,nuclear engineering
10,2017 Spring,1,Civil & Environmental Eng,C106,1,Clg of Engineering,nuclear engineering
11,2017 Spring,1,Civil & Environmental Eng,198,4,Clg of Engineering,nuclear engineering
12,2017 Spring,1,Cognitive Science,1,1,Clg of Letters & Science,nuclear engineering
13,2017 Spring,1,Comparative Literature,R1B,2,Clg of Letters & Science,nuclear engineering
14,2017 Spring,1,Comparative Literature,R1B,12,Clg of Letters & Science,nuclear engineering
15,2017 Spring,3,Computer Science,61A,1,Clg of Engineering,nuclear engineering
16,2017 Spring,2,Computer Science,61B,1,Clg of Engineering,nuclear engineering
17,2017 Spring,1,Earth & Planetary Science,104,1,Clg of Letters & Science,nuclear engineering
18,2017 Spring,1,East Asian Languages,R1B,2,Clg of Letters & Science,nuclear engineering
19,2017 Spring,1,Education,W140A,1,Grad School of Education,nuclear engineering
20,2017 Spring,11,Electrical Engineering,16A,1,Clg of Engineering,nuclear engineering
21,2017 Spring,1,Electrical Engineering,16B,1,Clg of Engineering,nuclear engineering
22,2017 Spring,1,Electrical Engineering,120,1,Clg of Engineering,nuclear engineering
23,2017 Spring,1,Energy and Resources,98,1,Clg of Natural Resources,nuclear engineering
24,2017 Spring,6,Engineering,7,1,Clg of Engineering,nuclear engineering
25,2017 Spring,1,Engineering,26,1,Clg of Engineering,nuclear engineering
26,2017 Spring,8,Engineering,45,1,Clg of Engineering,nuclear engineering
27,2017 Spring,1,Engineering,45L,1,Clg of Engineering,nuclear engineering
28,2017 Spring,3,Engineering,45L,2,Clg of Engineering,nuclear engineering
29,2017 Spring,1,Engineering,45L,4,Clg of Engineering,nuclear engineering
30,2017 Spring,2,Engineering,120,1,Clg of Engineering,nuclear engineering
31,2017 Spring,1,Engineering,157AC,1,Clg of Engineering,nuclear engineering
32,2017 Spring,1,"Env Sci, Policy, & Mgmt",150,2,Clg of Natural Resources,nuclear engineering
33,2017 Spring,1,Environmental Design,R3B,1,Clg of Environmental Design,nuclear engineering
34,2017 Spring,1,History,7B,1,Clg of Letters & Science,nuclear engineering
35,2017 Spring,1,History,100AC,2,Clg of Letters & Science,nuclear engineering
36,2017 Spring,1,History,122AC,1,Clg of Letters & Science,nuclear engineering
37,2017 Spring,1,History of Art,R1B,7,Clg of Letters & Science,nuclear engineering
38,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,nuclear engineering
39,2017 Spring,2,Industrial Eng & Ops Rsch,166,1,Clg of Engineering,nuclear engineering
40,2017 Spring,2,Industrial Eng & Ops Rsch,190D,1,Clg of Engineering,nuclear engineering
41,2017 Spring,1,Latin,100,1,Clg of Letters & Science,nuclear engineering
42,2017 Spring,1,Letters & Science,160B,1,Clg of Letters & Science,nuclear engineering
43,2017 Spring,1,Materials Science & Eng,103,1,Clg of Engineering,nuclear engineering
44,2017 Spring,1,Materials Science & Eng,104,1,Clg of Engineering,nuclear engineering
45,2017 Spring,1,Materials Science & Eng,111,1,Clg of Engineering,nuclear engineering
46,2017 Spring,2,Materials Science & Eng,112,1,Clg of Engineering,nuclear engineering
47,2017 Spring,2,Mathematics,1B,1,Clg of Letters & Science,nuclear engineering
48,2017 Spring,2,Mathematics,1B,2,Clg of Letters & Science,nuclear engineering
49,2017 Spring,1,Mathematics,53,1,Clg of Letters & Science,nuclear engineering
50,2017 Spring,3,Mathematics,53,2,Clg of Letters & Science,nuclear engineering
51,2017 Spring,3,Mathematics,54,1,Clg of Letters & Science,nuclear engineering
52,2017 Spring,1,Mathematics,54,2,Clg of Letters & Science,nuclear engineering
53,2017 Spring,1,Mathematics,98,30,Clg of Letters & Science,nuclear engineering
54,2017 Spring,1,Mathematics,98,32,Clg of Letters & Science,nuclear engineering
55,2017 Spring,1,Mathematics,115,1,Clg of Letters & Science,nuclear engineering
56,2017 Spring,1,Mathematics,140,1,Clg of Letters & Science,nuclear engineering
57,2017 Spring,1,Mechanical Engineering,40,1,Clg of Engineering,nuclear engineering
58,2017 Spring,1,Mechanical Engineering,102B,1,Clg of Engineering,nuclear engineering
59,2017 Spring,1,Mechanical Engineering,106,1,Clg of Engineering,nuclear engineering
60,2017 Spring,1,Military Affairs,1,1,Clg of Letters & Science,nuclear engineering
61,2017 Spring,1,Military Affairs,20,1,Clg of Letters & Science,nuclear engineering
62,2017 Spring,1,Military Science,1,1,Clg of Letters & Science,nuclear engineering
63,2017 Spring,1,Military Science,101,1,Clg of Letters & Science,nuclear engineering
64,2017 Spring,1,Molecular & Cell Biology,102,1,Clg of Letters & Science,nuclear engineering
65,2017 Spring,1,Molecular & Cell Biology,198,9,Clg of Letters & Science,nuclear engineering
66,2017 Spring,1,Molecular & Cell Biology,198,10,Clg of Letters & Science,nuclear engineering
67,2017 Spring,1,Music,153B,1,Clg of Letters & Science,nuclear engineering
68,2017 Spring,1,Music,154B,1,Clg of Letters & Science,nuclear engineering
69,2017 Spring,2,Naval Science,10,1,Clg of Letters & Science,nuclear engineering
70,2017 Spring,1,Near Eastern Studies,146B,1,Clg of Letters & Science,nuclear engineering
71,2017 Spring,1,Near Eastern Studies,180,1,Clg of Letters & Science,nuclear engineering
72,2017 Spring,1,Nuclear Engineering,24,1,Clg of Engineering,nuclear engineering
73,2017 Spring,3,Nuclear Engineering,24,2,Clg of Engineering,nuclear engineering
74,2017 Spring,20,Nuclear Engineering,100,1,Clg of Engineering,nuclear engineering
75,2017 Spring,1,Nuclear Engineering,102,1,Clg of Engineering,nuclear engineering
76,2017 Spring,13,Nuclear Engineering,104,1,Clg of Engineering,nuclear engineering
77,2017 Spring,1,Nuclear Engineering,124,1,Clg of Engineering,nuclear engineering
78,2017 Spring,11,Nuclear Engineering,130,1,Clg of Engineering,nuclear engineering
79,2017 Spring,14,Nuclear Engineering,150,1,Clg of Engineering,nuclear engineering
80,2017 Spring,13,Nuclear Engineering,155,1,Clg of Engineering,nuclear engineering
81,2017 Spring,7,Nuclear Engineering,162,1,Clg of Engineering,nuclear engineering
82,2017 Spring,13,Nuclear Engineering,170A,1,Clg of Engineering,nuclear engineering
83,2017 Spring,1,Nuclear Engineering,198,1,Clg of Engineering,nuclear engineering
84,2017 Spring,1,Philosophy,2,1,Clg of Letters & Science,nuclear engineering
85,2017 Spring,2,Philosophy,107,1,Clg of Letters & Science,nuclear engineering
86,2017 Spring,1,Physical Education,1,16,Clg of Letters & Science,nuclear engineering
87,2017 Spring,1,Physical Education,1,40,Clg of Letters & Science,nuclear engineering
88,2017 Spring,1,Physical Education,2,5,Clg of Letters & Science,nuclear engineering
89,2017 Spring,2,Physics,7A,1,Clg of Letters & Science,nuclear engineering
90,2017 Spring,1,Physics,7A,2,Clg of Letters & Science,nuclear engineering
91,2017 Spring,3,Physics,7B,2,Clg of Letters & Science,nuclear engineering
92,2017 Spring,10,Physics,7C,1,Clg of Letters & Science,nuclear engineering
93,2017 Spring,1,Physics,98BC,2,Clg of Letters & Science,nuclear engineering
94,2017 Spring,3,Physics,110A,1,Clg of Letters & Science,nuclear engineering
95,2017 Spring,1,Physics,137B,1,Clg of Letters & Science,nuclear engineering
96,2017 Spring,2,Physics,139,1,Clg of Letters & Science,nuclear engineering
97,2017 Spring,1,Physics,177,1,Clg of Letters & Science,nuclear engineering
98,2017 Spring,1,Psychology,C143,1,Clg of Letters & Science,nuclear engineering
99,2017 Spring,2,Public Policy,101,1,Goldman School Public Policy,nuclear engineering
100,2017 Spring,1,Rhetoric,R1A,3,Clg of Letters & Science,nuclear engineering
101,2017 Spring,1,Rhetoric,R1B,2,Clg of Letters & Science,nuclear engineering
102,2017 Spring,1,Sociology,1,1,Clg of Letters & Science,nuclear engineering
103,2017 Spring,2,Sociology,116,1,Clg of Letters & Science,nuclear engineering
104,2017 Spring,1,Sociology,198,12,Clg of Letters & Science,nuclear engineering
