Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,operational research and management science
1,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,operational research and management science
2,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,operational research and management science
3,2017 Spring,3,Business Admin-Undergrad,107,1,Haas School of Business,operational research and management science
4,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,operational research and management science
5,2017 Spring,1,Business Admin-Undergrad,155,1,Haas School of Business,operational research and management science
6,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,operational research and management science
7,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,operational research and management science
8,2017 Spring,1,Computer Science,9F,1,Clg of Engineering,operational research and management science
9,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,operational research and management science
10,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,operational research and management science
11,2017 Spring,1,Computer Science,61C,1,Clg of Engineering,operational research and management science
12,2017 Spring,1,Computer Science,70,1,Clg of Engineering,operational research and management science
13,2017 Spring,1,Computer Science,162,1,Clg of Engineering,operational research and management science
14,2017 Spring,1,Computer Science,174,1,Clg of Engineering,operational research and management science
15,2017 Spring,2,Computer Science,186,1,Clg of Engineering,operational research and management science
16,2017 Spring,1,Computer Science,198,75,Clg of Engineering,operational research and management science
17,2017 Spring,1,Earth & Planetary Science,C12,1,Clg of Letters & Science,operational research and management science
18,2017 Spring,1,Economics,100B,1,Clg of Letters & Science,operational research and management science
19,2017 Spring,3,Economics,101A,1,Clg of Letters & Science,operational research and management science
20,2017 Spring,1,Economics,138,1,Clg of Letters & Science,operational research and management science
21,2017 Spring,2,Economics,139,1,Clg of Letters & Science,operational research and management science
22,2017 Spring,1,Economics,140,1,Clg of Letters & Science,operational research and management science
23,2017 Spring,1,Economics,141,1,Clg of Letters & Science,operational research and management science
24,2017 Spring,2,Economics,C142,1,Clg of Letters & Science,operational research and management science
25,2017 Spring,1,Economics,155A,1,Clg of Letters & Science,operational research and management science
26,2017 Spring,1,Economics,157,1,Clg of Letters & Science,operational research and management science
27,2017 Spring,2,Electrical Engineering,127,1,Clg of Engineering,operational research and management science
28,2017 Spring,2,Engineering,7,1,Clg of Engineering,operational research and management science
29,2017 Spring,1,Environmental Design,100,1,Clg of Environmental Design,operational research and management science
30,2017 Spring,1,Hindi-Urdu,101B,1,Clg of Letters & Science,operational research and management science
31,2017 Spring,2,History,186,1,Clg of Letters & Science,operational research and management science
32,2017 Spring,1,History of Art,87AC,1,Clg of Letters & Science,operational research and management science
33,2017 Spring,7,Industrial Eng & Ops Rsch,131,1,Clg of Engineering,operational research and management science
34,2017 Spring,4,Industrial Eng & Ops Rsch,153,1,Clg of Engineering,operational research and management science
35,2017 Spring,5,Industrial Eng & Ops Rsch,160,1,Clg of Engineering,operational research and management science
36,2017 Spring,2,Industrial Eng & Ops Rsch,165,1,Clg of Engineering,operational research and management science
37,2017 Spring,4,Industrial Eng & Ops Rsch,166,1,Clg of Engineering,operational research and management science
38,2017 Spring,4,Industrial Eng & Ops Rsch,170,1,Clg of Engineering,operational research and management science
39,2017 Spring,6,Industrial Eng & Ops Rsch,173,1,Clg of Engineering,operational research and management science
40,2017 Spring,1,Industrial Eng & Ops Rsch,180,1,Clg of Engineering,operational research and management science
41,2017 Spring,1,International & Area Stds,150,5,Clg of Letters & Science,operational research and management science
42,2017 Spring,1,Italian Studies,30,1,Clg of Letters & Science,operational research and management science
43,2017 Spring,1,Mathematics,105,1,Clg of Letters & Science,operational research and management science
44,2017 Spring,2,Mathematics,110,1,Clg of Letters & Science,operational research and management science
45,2017 Spring,1,Mathematics,113,1,Clg of Letters & Science,operational research and management science
46,2017 Spring,1,Mathematics,126,1,Clg of Letters & Science,operational research and management science
47,2017 Spring,1,Mathematics,128A,1,Clg of Letters & Science,operational research and management science
48,2017 Spring,1,Music,25A,1,Clg of Letters & Science,operational research and management science
49,2017 Spring,1,Music,26AC,1,Clg of Letters & Science,operational research and management science
50,2017 Spring,1,Music,140,2,Clg of Letters & Science,operational research and management science
51,2017 Spring,1,Nutritional Science & Tox,10,1,Clg of Natural Resources,operational research and management science
52,2017 Spring,2,Philosophy,12A,1,Clg of Letters & Science,operational research and management science
53,2017 Spring,1,Philosophy,25B,1,Clg of Letters & Science,operational research and management science
54,2017 Spring,1,Physical Education,1,13,Clg of Letters & Science,operational research and management science
55,2017 Spring,1,Physical Education,1,43,Clg of Letters & Science,operational research and management science
56,2017 Spring,1,Physical Education,2,19,Clg of Letters & Science,operational research and management science
57,2017 Spring,1,Political Economy,100,1,Clg of Letters & Science,operational research and management science
58,2017 Spring,1,Psychology,2,1,Clg of Letters & Science,operational research and management science
59,2017 Spring,1,Psychology,198,1,Clg of Letters & Science,operational research and management science
60,2017 Spring,1,Public Health,150D,1,School of Public Health,operational research and management science
61,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,operational research and management science
62,2017 Spring,1,Rhetoric,137,1,Clg of Letters & Science,operational research and management science
63,2017 Spring,1,Slavic Languages & Lit,134E,1,Clg of Letters & Science,operational research and management science
64,2017 Spring,1,South & SE Asian Studies,C145,1,Clg of Letters & Science,operational research and management science
65,2017 Spring,1,Statistics,20,1,Clg of Letters & Science,operational research and management science
66,2017 Spring,2,Statistics,134,1,Clg of Letters & Science,operational research and management science
67,2017 Spring,1,Statistics,151A,1,Clg of Letters & Science,operational research and management science
68,2017 Spring,1,Statistics,151A,2,Clg of Letters & Science,operational research and management science
69,2017 Spring,2,Statistics,153,1,Clg of Letters & Science,operational research and management science
70,2017 Spring,1,Statistics,154,1,Clg of Letters & Science,operational research and management science
71,2017 Spring,1,Statistics,155,1,Clg of Letters & Science,operational research and management science
72,2017 Spring,1,Statistics,198,7,Clg of Letters & Science,operational research and management science
