Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,101,1,Clg of Letters & Science,peace and conflict studies
1,2017 Spring,1,African American Studies,197,1,Clg of Letters & Science,peace and conflict studies
2,2017 Spring,3,Anthropology,3AC,1,Clg of Letters & Science,peace and conflict studies
3,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,peace and conflict studies
4,2017 Spring,1,Anthropology,134,1,Clg of Letters & Science,peace and conflict studies
5,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,peace and conflict studies
6,2017 Spring,2,Anthropology,156A,1,Clg of Letters & Science,peace and conflict studies
7,2017 Spring,2,Anthropology,169B,1,Clg of Letters & Science,peace and conflict studies
8,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,peace and conflict studies
9,2017 Spring,1,Anthropology,189,2,Clg of Letters & Science,peace and conflict studies
10,2017 Spring,1,Anthropology,196,1,Clg of Letters & Science,peace and conflict studies
11,2017 Spring,1,Arabic,1B,4,Clg of Letters & Science,peace and conflict studies
12,2017 Spring,3,Arabic,20B,1,Clg of Letters & Science,peace and conflict studies
13,2017 Spring,1,Arabic,20B,2,Clg of Letters & Science,peace and conflict studies
14,2017 Spring,1,Arabic,100B,1,Clg of Letters & Science,peace and conflict studies
15,2017 Spring,1,Armenian,101B,1,Clg of Letters & Science,peace and conflict studies
16,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,peace and conflict studies
17,2017 Spring,3,Asian American Studies,132AC,1,Clg of Letters & Science,peace and conflict studies
18,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,peace and conflict studies
19,2017 Spring,1,Asian Studies,150,2,Clg of Letters & Science,peace and conflict studies
20,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,peace and conflict studies
21,2017 Spring,1,Bosnian/Croatian/Serbian,117B,1,Clg of Letters & Science,peace and conflict studies
22,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,peace and conflict studies
23,2017 Spring,1,Business Admin-Undergrad,102B,1,Haas School of Business,peace and conflict studies
24,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,peace and conflict studies
25,2017 Spring,1,Business Admin-Undergrad,190T,3,Haas School of Business,peace and conflict studies
26,2017 Spring,1,Business Admin-Undergrad,192A,1,Haas School of Business,peace and conflict studies
27,2017 Spring,1,Business Admin-Undergrad,192T,2,Haas School of Business,peace and conflict studies
28,2017 Spring,1,Chicano Studies,174,1,Clg of Letters & Science,peace and conflict studies
29,2017 Spring,1,Chinese,7B,1,Clg of Letters & Science,peace and conflict studies
30,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,peace and conflict studies
31,2017 Spring,1,Classics,28,1,Clg of Letters & Science,peace and conflict studies
32,2017 Spring,1,Classics,161,1,Clg of Letters & Science,peace and conflict studies
33,2017 Spring,3,Computer Science,C8,1,Clg of Engineering,peace and conflict studies
34,2017 Spring,1,Computer Science,10,1,Clg of Engineering,peace and conflict studies
35,2017 Spring,1,Computer Science,198,58,Clg of Engineering,peace and conflict studies
36,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,peace and conflict studies
37,2017 Spring,1,Development Studies,C10,1,Clg of Letters & Science,peace and conflict studies
38,2017 Spring,1,Development Studies,C100,1,Clg of Letters & Science,peace and conflict studies
39,2017 Spring,1,Earth & Planetary Science,C12,1,Clg of Letters & Science,peace and conflict studies
40,2017 Spring,2,Economics,1,1,Clg of Letters & Science,peace and conflict studies
41,2017 Spring,2,Economics,115,1,Clg of Letters & Science,peace and conflict studies
42,2017 Spring,1,Economics,172,1,Clg of Letters & Science,peace and conflict studies
43,2017 Spring,1,Economics,174,1,Clg of Letters & Science,peace and conflict studies
44,2017 Spring,2,Education,188F,1,Grad School of Education,peace and conflict studies
45,2017 Spring,1,Education,190AC,2,Grad School of Education,peace and conflict studies
46,2017 Spring,1,Education,197,12,Grad School of Education,peace and conflict studies
47,2017 Spring,1,Education,198,9,Grad School of Education,peace and conflict studies
48,2017 Spring,1,Education,198,24,Grad School of Education,peace and conflict studies
49,2017 Spring,1,Education,198,36,Grad School of Education,peace and conflict studies
50,2017 Spring,1,Engineering,157AC,1,Clg of Engineering,peace and conflict studies
51,2017 Spring,1,Engineering,198,1,Clg of Engineering,peace and conflict studies
