Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,100,1,Clg of Letters & Science,philosophy
1,2017 Spring,1,Aerospace Studies,135B,1,Clg of Letters & Science,philosophy
2,2017 Spring,1,African American Studies,98BC,2,Clg of Letters & Science,philosophy
3,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,philosophy
4,2017 Spring,1,African American Studies,158B,1,Clg of Letters & Science,philosophy
5,2017 Spring,1,African American Studies,197,3,Clg of Letters & Science,philosophy
6,2017 Spring,1,African American Studies,198BC,1,Clg of Letters & Science,philosophy
7,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,philosophy
8,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,philosophy
9,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,philosophy
10,2017 Spring,2,Anthropology,156,1,Clg of Letters & Science,philosophy
11,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,philosophy
12,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,philosophy
13,2017 Spring,1,Anthropology,189,1,Clg of Letters & Science,philosophy
14,2017 Spring,1,Anthropology,189,3,Clg of Letters & Science,philosophy
15,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,philosophy
16,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,philosophy
17,2017 Spring,1,Art Practice,13,1,Clg of Letters & Science,philosophy
18,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,philosophy
19,2017 Spring,1,Astronomy,198,1,Clg of Letters & Science,philosophy
20,2017 Spring,2,Biology,1A,1,Clg of Letters & Science,philosophy
21,2017 Spring,2,Biology,1AL,1,Clg of Letters & Science,philosophy
22,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,philosophy
23,2017 Spring,1,Business Admin-Undergrad,101B,2,Haas School of Business,philosophy
24,2017 Spring,1,Business Admin-Undergrad,198,4,Haas School of Business,philosophy
25,2017 Spring,1,Chemistry,1A,1,Clg of Chemistry,philosophy
26,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,philosophy
27,2017 Spring,2,Chemistry,112B,1,Clg of Chemistry,philosophy
28,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,philosophy
29,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,philosophy
30,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,philosophy
31,2017 Spring,1,City & Regional Planning,120,1,Clg of Environmental Design,philosophy
32,2017 Spring,2,Cognitive Science,1,1,Clg of Letters & Science,philosophy
33,2017 Spring,1,Cognitive Science,C126,1,Clg of Letters & Science,philosophy
34,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,philosophy
35,2017 Spring,4,Cognitive Science,198,6,Clg of Letters & Science,philosophy
36,2017 Spring,1,Comparative Literature,R1B,6,Clg of Letters & Science,philosophy
37,2017 Spring,2,Comparative Literature,100,1,Clg of Letters & Science,philosophy
38,2017 Spring,1,Comparative Literature,152,1,Clg of Letters & Science,philosophy
39,2017 Spring,1,Comparative Literature,165,1,Clg of Letters & Science,philosophy
40,2017 Spring,1,Comparative Literature,198,2,Clg of Letters & Science,philosophy
41,2017 Spring,1,Computer Science,10,1,Clg of Engineering,philosophy
42,2017 Spring,3,Computer Science,61A,1,Clg of Engineering,philosophy
43,2017 Spring,2,Computer Science,61B,1,Clg of Engineering,philosophy
44,2017 Spring,2,Computer Science,61C,1,Clg of Engineering,philosophy
45,2017 Spring,1,Computer Science,70,1,Clg of Engineering,philosophy
46,2017 Spring,1,Computer Science,97,213,Clg of Engineering,philosophy
47,2017 Spring,1,Computer Science,195,1,Clg of Engineering,philosophy
48,2017 Spring,2,Computer Science,197,214,Clg of Engineering,philosophy
