Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,physics
1,2017 Spring,4,Anthropology,2AC,1,Clg of Letters & Science,physics
2,2017 Spring,3,Anthropology,3AC,1,Clg of Letters & Science,physics
3,2017 Spring,2,Anthropology,160AC,1,Clg of Letters & Science,physics
4,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,physics
5,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,physics
6,2017 Spring,1,Arabic,20B,1,Clg of Letters & Science,physics
7,2017 Spring,1,Architecture,198,1,Clg of Environmental Design,physics
8,2017 Spring,1,Art Practice,8,1,Clg of Letters & Science,physics
9,2017 Spring,1,Art Practice,137,1,Clg of Letters & Science,physics
10,2017 Spring,1,Art Practice,160,1,Clg of Letters & Science,physics
11,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,physics
12,2017 Spring,1,Asian American Studies,198,5,Clg of Letters & Science,physics
13,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,physics
14,2017 Spring,1,Astronomy,7B,1,Clg of Letters & Science,physics
15,2017 Spring,1,Astronomy,84,1,Clg of Letters & Science,physics
16,2017 Spring,8,Astronomy,121,1,Clg of Letters & Science,physics
17,2017 Spring,13,Astronomy,C161,1,Clg of Letters & Science,physics
18,2017 Spring,2,Astronomy,198,1,Clg of Letters & Science,physics
19,2017 Spring,2,Astronomy,198,2,Clg of Letters & Science,physics
20,2017 Spring,1,Astronomy,198,3,Clg of Letters & Science,physics
21,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,physics
22,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,physics
23,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,physics
24,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,physics
25,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,physics
26,2017 Spring,1,Business Admin-Undergrad,118,1,Haas School of Business,physics
27,2017 Spring,1,Business Admin-Undergrad,198,7,Haas School of Business,physics
28,2017 Spring,1,Catalan,101,1,Clg of Letters & Science,physics
29,2017 Spring,2,Chemistry,104B,1,Clg of Chemistry,physics
30,2017 Spring,1,Chemistry,114,1,Clg of Chemistry,physics
31,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,physics
32,2017 Spring,1,Chemistry,125,1,Clg of Chemistry,physics
33,2017 Spring,1,Chinese,1B,4,Clg of Letters & Science,physics
34,2017 Spring,1,Chinese,7B,1,Clg of Letters & Science,physics
35,2017 Spring,1,Civil & Environmental Eng,107,1,Clg of Engineering,physics
36,2017 Spring,1,Civil & Environmental Eng,198,3,Clg of Engineering,physics
37,2017 Spring,1,Civil & Environmental Eng,198,5,Clg of Engineering,physics
38,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,physics
39,2017 Spring,2,Classics,17B,1,Clg of Letters & Science,physics
40,2017 Spring,2,Classics,28,1,Clg of Letters & Science,physics
41,2017 Spring,1,Classics,35,1,Clg of Letters & Science,physics
42,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,physics
43,2017 Spring,1,Comparative Literature,R1B,22,Clg of Letters & Science,physics
44,2017 Spring,2,Comparative Literature,171,1,Clg of Letters & Science,physics
45,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,physics
46,2017 Spring,1,Computer Science,9A,1,Clg of Engineering,physics
47,2017 Spring,1,Computer Science,9F,1,Clg of Engineering,physics
48,2017 Spring,1,Computer Science,9H,1,Clg of Engineering,physics
49,2017 Spring,1,Computer Science,47B,1,Clg of Engineering,physics
50,2017 Spring,7,Computer Science,61A,1,Clg of Engineering,physics
51,2017 Spring,8,Computer Science,61B,1,Clg of Engineering,physics
52,2017 Spring,4,Computer Science,61C,1,Clg of Engineering,physics
53,2017 Spring,6,Computer Science,70,1,Clg of Engineering,physics
54,2017 Spring,1,Computer Science,97,205,Clg of Engineering,physics
55,2017 Spring,2,Computer Science,160,1,Clg of Engineering,physics
56,2017 Spring,3,Computer Science,161,1,Clg of Engineering,physics
57,2017 Spring,4,Computer Science,162,1,Clg of Engineering,physics
58,2017 Spring,1,Computer Science,164,1,Clg of Engineering,physics
59,2017 Spring,5,Computer Science,170,1,Clg of Engineering,physics
60,2017 Spring,1,Computer Science,174,1,Clg of Engineering,physics
61,2017 Spring,1,Computer Science,184,1,Clg of Engineering,physics
62,2017 Spring,9,Computer Science,188,1,Clg of Engineering,physics
63,2017 Spring,7,Computer Science,189,1,Clg of Engineering,physics
64,2017 Spring,6,Computer Science,C191,1,Clg of Engineering,physics
65,2017 Spring,1,Computer Science,197,214,Clg of Engineering,physics
66,2017 Spring,1,Computer Science,198,1,Clg of Engineering,physics
67,2017 Spring,1,Computer Science,198,2,Clg of Engineering,physics
68,2017 Spring,3,Computer Science,198,58,Clg of Engineering,physics
69,2017 Spring,1,Computer Science,198,67,Clg of Engineering,physics
70,2017 Spring,1,Computer Science,198,153,Clg of Engineering,physics
71,2017 Spring,1,Development Studies,C10,1,Clg of Letters & Science,physics
72,2017 Spring,2,Earth & Planetary Science,50,1,Clg of Letters & Science,physics
73,2017 Spring,1,Earth & Planetary Science,102,1,Clg of Letters & Science,physics
74,2017 Spring,1,Earth & Planetary Science,104,1,Clg of Letters & Science,physics
75,2017 Spring,1,Earth & Planetary Science,C180,1,Clg of Letters & Science,physics
76,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,physics
77,2017 Spring,1,East Asian Languages,191,1,Clg of Letters & Science,physics
78,2017 Spring,1,Economics,2,1,Clg of Letters & Science,physics
79,2017 Spring,1,Economics,C103,1,Clg of Letters & Science,physics
80,2017 Spring,1,Economics,113,1,Clg of Letters & Science,physics
81,2017 Spring,1,Economics,115,1,Clg of Letters & Science,physics
82,2017 Spring,2,Economics,136,1,Clg of Letters & Science,physics
83,2017 Spring,1,Economics,140,1,Clg of Letters & Science,physics
84,2017 Spring,1,Economics,C142,1,Clg of Letters & Science,physics
85,2017 Spring,2,Economics,C175,1,Clg of Letters & Science,physics
86,2017 Spring,1,Economics,191,1,Clg of Letters & Science,physics
87,2017 Spring,2,Education,130,1,Grad School of Education,physics
88,2017 Spring,6,Education,131AC,1,Grad School of Education,physics
89,2017 Spring,1,Education,190AC,2,Grad School of Education,physics
90,2017 Spring,1,Education,197,12,Grad School of Education,physics
91,2017 Spring,2,Electrical Engineering,16A,1,Clg of Engineering,physics
92,2017 Spring,1,Electrical Engineering,120,1,Clg of Engineering,physics
93,2017 Spring,1,Electrical Engineering,122,1,Clg of Engineering,physics
94,2017 Spring,1,Electrical Engineering,126,1,Clg of Engineering,physics
95,2017 Spring,3,Electrical Engineering,127,1,Clg of Engineering,physics
96,2017 Spring,1,Electrical Engineering,130,1,Clg of Engineering,physics
97,2017 Spring,1,Electrical Engineering,140,1,Clg of Engineering,physics
98,2017 Spring,1,Electrical Engineering,198,1,Clg of Engineering,physics
99,2017 Spring,2,Electrical Engineering,198,2,Clg of Engineering,physics
100,2017 Spring,2,Electrical Engineering,198,13,Clg of Engineering,physics
101,2017 Spring,1,Engineering,7,1,Clg of Engineering,physics
102,2017 Spring,2,English,132,1,Clg of Letters & Science,physics
103,2017 Spring,1,English,180Z,1,Clg of Letters & Science,physics
104,2017 Spring,1,English,198BC,2,Clg of Letters & Science,physics
105,2017 Spring,1,"Env Sci, Policy, & Mgmt",C10,1,Clg of Natural Resources,physics
106,2017 Spring,2,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,physics
107,2017 Spring,3,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,physics
108,2017 Spring,8,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,physics
109,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,7,Clg of Natural Resources,physics
110,2017 Spring,1,"Env Sci, Policy, & Mgmt",114,1,Clg of Natural Resources,physics
111,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,physics
112,2017 Spring,1,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,physics
113,2017 Spring,1,Environmental Design,100,1,Clg of Environmental Design,physics
114,2017 Spring,1,Ethnic Studies,197,11,Clg of Letters & Science,physics
115,2017 Spring,1,Ethnic Studies,198,5,Clg of Letters & Science,physics
116,2017 Spring,1,Film,151,1,Clg of Letters & Science,physics
117,2017 Spring,1,French,3,3,Clg of Letters & Science,physics
118,2017 Spring,2,Gender & Womens Studies,100AC,1,Clg of Letters & Science,physics
119,2017 Spring,1,Gender & Womens Studies,198,4,Clg of Letters & Science,physics
120,2017 Spring,3,Geography,20,1,Clg of Letters & Science,physics
121,2017 Spring,1,Geography,70AC,1,Clg of Letters & Science,physics
122,2017 Spring,1,Geography,130,1,Clg of Letters & Science,physics
123,2017 Spring,2,German,1,4,Clg of Letters & Science,physics
124,2017 Spring,2,German,3,1,Clg of Letters & Science,physics
125,2017 Spring,1,German,174,1,Clg of Letters & Science,physics
126,2017 Spring,1,German,182,1,Clg of Letters & Science,physics
127,2017 Spring,2,History,6B,1,Clg of Letters & Science,physics
128,2017 Spring,3,History,7B,1,Clg of Letters & Science,physics
129,2017 Spring,1,History,100AC,2,Clg of Letters & Science,physics
130,2017 Spring,1,History,103B,3,Clg of Letters & Science,physics
131,2017 Spring,1,History,104,1,Clg of Letters & Science,physics
132,2017 Spring,1,History,111B,1,Clg of Letters & Science,physics
133,2017 Spring,1,History,122AC,1,Clg of Letters & Science,physics
134,2017 Spring,1,History,136C,1,Clg of Letters & Science,physics
135,2017 Spring,1,History,160,1,Clg of Letters & Science,physics
136,2017 Spring,1,History,162B,1,Clg of Letters & Science,physics
137,2017 Spring,1,History,180T,1,Clg of Letters & Science,physics
138,2017 Spring,1,History,186,1,Clg of Letters & Science,physics
139,2017 Spring,1,History,C191,1,Clg of Letters & Science,physics
140,2017 Spring,1,History,198BC,1,Clg of Letters & Science,physics
141,2017 Spring,1,History of Art,R1B,8,Clg of Letters & Science,physics
142,2017 Spring,2,History of Art,11,1,Clg of Letters & Science,physics
143,2017 Spring,1,History of Art,192DH,1,Clg of Letters & Science,physics
144,2017 Spring,1,Industrial Eng & Ops Rsch,162,1,Clg of Engineering,physics
145,2017 Spring,1,Industrial Eng & Ops Rsch,185,1,Clg of Engineering,physics
146,2017 Spring,1,Industrial Eng & Ops Rsch,198,3,Clg of Engineering,physics
147,2017 Spring,1,Integrative Biology,C32,1,Clg of Letters & Science,physics
148,2017 Spring,1,Integrative Biology,95,2,Clg of Letters & Science,physics
149,2017 Spring,1,Integrative Biology,198,1,Clg of Letters & Science,physics
150,2017 Spring,1,Integrative Biology,198,2,Clg of Letters & Science,physics
151,2017 Spring,1,Interdisciplinary Studies,100G,1,Clg of Letters & Science,physics
152,2017 Spring,2,Interdisciplinary Studies,198,5,Clg of Letters & Science,physics
153,2017 Spring,1,International & Area Stds,198,3,Clg of Letters & Science,physics
154,2017 Spring,1,Japanese,7B,1,Clg of Letters & Science,physics
155,2017 Spring,1,Japanese,100B,2,Clg of Letters & Science,physics
156,2017 Spring,1,Jewish Studies,120,1,Clg of Letters & Science,physics
157,2017 Spring,1,Jewish Studies,198,1,Clg of Letters & Science,physics
158,2017 Spring,1,Korean,1B,4,Clg of Letters & Science,physics
159,2017 Spring,1,Korean,100B,1,Clg of Letters & Science,physics
160,2017 Spring,1,Letters & Science,C30V,1,Clg of Letters & Science,physics
161,2017 Spring,3,Letters & Science,124,1,Clg of Letters & Science,physics
162,2017 Spring,1,Letters & Science,160B,1,Clg of Letters & Science,physics
163,2017 Spring,1,Letters & Science,C180U,1,Clg of Letters & Science,physics
164,2017 Spring,1,Linguistics,100,1,Clg of Letters & Science,physics
165,2017 Spring,2,Linguistics,198,2,Clg of Letters & Science,physics
166,2017 Spring,2,Materials Science & Eng,103,1,Clg of Engineering,physics
167,2017 Spring,1,Materials Science & Eng,111,1,Clg of Engineering,physics
168,2017 Spring,1,Mathematics,54,1,Clg of Letters & Science,physics
169,2017 Spring,2,Mathematics,55,1,Clg of Letters & Science,physics
170,2017 Spring,1,Mathematics,98,11,Clg of Letters & Science,physics
171,2017 Spring,1,Mathematics,98,12,Clg of Letters & Science,physics
172,2017 Spring,2,Mathematics,104,1,Clg of Letters & Science,physics
173,2017 Spring,2,Mathematics,104,2,Clg of Letters & Science,physics
174,2017 Spring,1,Mathematics,104,3,Clg of Letters & Science,physics
175,2017 Spring,2,Mathematics,104,4,Clg of Letters & Science,physics
176,2017 Spring,1,Mathematics,104,5,Clg of Letters & Science,physics
177,2017 Spring,1,Mathematics,104,6,Clg of Letters & Science,physics
178,2017 Spring,16,Mathematics,110,1,Clg of Letters & Science,physics
179,2017 Spring,5,Mathematics,113,1,Clg of Letters & Science,physics
180,2017 Spring,2,Mathematics,113,2,Clg of Letters & Science,physics
181,2017 Spring,1,Mathematics,113,4,Clg of Letters & Science,physics
182,2017 Spring,1,Mathematics,113,5,Clg of Letters & Science,physics
183,2017 Spring,1,Mathematics,113,7,Clg of Letters & Science,physics
184,2017 Spring,1,Mathematics,H113,1,Clg of Letters & Science,physics
185,2017 Spring,9,Mathematics,121B,1,Clg of Letters & Science,physics
186,2017 Spring,5,Mathematics,126,1,Clg of Letters & Science,physics
187,2017 Spring,5,Mathematics,128A,1,Clg of Letters & Science,physics
188,2017 Spring,1,Mathematics,128B,1,Clg of Letters & Science,physics
189,2017 Spring,3,Mathematics,135,1,Clg of Letters & Science,physics
190,2017 Spring,2,Mathematics,136,1,Clg of Letters & Science,physics
191,2017 Spring,9,Mathematics,140,1,Clg of Letters & Science,physics
192,2017 Spring,6,Mathematics,142,1,Clg of Letters & Science,physics
193,2017 Spring,1,Mathematics,160,1,Clg of Letters & Science,physics
194,2017 Spring,1,Mathematics,170,1,Clg of Letters & Science,physics
195,2017 Spring,2,Mathematics,172,1,Clg of Letters & Science,physics
196,2017 Spring,4,Mathematics,185,2,Clg of Letters & Science,physics
197,2017 Spring,1,Mathematics,185,3,Clg of Letters & Science,physics
198,2017 Spring,1,Mathematics,185,5,Clg of Letters & Science,physics
199,2017 Spring,1,Mathematics,191,1,Clg of Letters & Science,physics
200,2017 Spring,2,Mathematics,198,3,Clg of Letters & Science,physics
201,2017 Spring,2,Mathematics,198BC,1,Clg of Letters & Science,physics
202,2017 Spring,1,Mathematics,198BC,2,Clg of Letters & Science,physics
203,2017 Spring,1,Mathematics,198BC,3,Clg of Letters & Science,physics
204,2017 Spring,1,Mathematics,198BC,4,Clg of Letters & Science,physics
205,2017 Spring,1,Mechanical Engineering,135,1,Clg of Engineering,physics
206,2017 Spring,2,Mechanical Engineering,198,51,Clg of Engineering,physics
207,2017 Spring,1,Military Affairs,1,1,Clg of Letters & Science,physics
208,2017 Spring,1,Military Science,1,1,Clg of Letters & Science,physics
209,2017 Spring,1,Military Science,142,1,Clg of Letters & Science,physics
210,2017 Spring,1,Molecular & Cell Biology,C44,1,Clg of Letters & Science,physics
211,2017 Spring,1,Molecular & Cell Biology,50,1,Clg of Letters & Science,physics
212,2017 Spring,2,Molecular & Cell Biology,104,1,Clg of Letters & Science,physics
213,2017 Spring,1,Molecular & Cell Biology,130,1,Clg of Letters & Science,physics
214,2017 Spring,1,Music,20A,1,Clg of Letters & Science,physics
215,2017 Spring,1,Music,20A,5,Clg of Letters & Science,physics
216,2017 Spring,6,Music,26AC,1,Clg of Letters & Science,physics
217,2017 Spring,1,Music,44,1,Clg of Letters & Science,physics
218,2017 Spring,1,Music,52B,2,Clg of Letters & Science,physics
219,2017 Spring,1,Music,98BC,1,Clg of Letters & Science,physics
220,2017 Spring,3,Music,139,1,Clg of Letters & Science,physics
221,2017 Spring,2,Music,141,1,Clg of Letters & Science,physics
222,2017 Spring,3,Music,142,1,Clg of Letters & Science,physics
223,2017 Spring,2,Music,142,2,Clg of Letters & Science,physics
224,2017 Spring,1,Music,144,1,Clg of Letters & Science,physics
225,2017 Spring,1,Music,148,1,Clg of Letters & Science,physics
226,2017 Spring,1,Music,154B,1,Clg of Letters & Science,physics
227,2017 Spring,1,Music,157B,1,Clg of Letters & Science,physics
228,2017 Spring,1,Music,198,7,Clg of Letters & Science,physics
229,2017 Spring,1,Music,198,10,Clg of Letters & Science,physics
230,2017 Spring,1,Native American Studies,C152,1,Clg of Letters & Science,physics
231,2017 Spring,1,Native American Studies,173AC,1,Clg of Letters & Science,physics
232,2017 Spring,1,Native American Studies,178,1,Clg of Letters & Science,physics
233,2017 Spring,1,Near Eastern Studies,C104,1,Clg of Letters & Science,physics
234,2017 Spring,1,Near Eastern Studies,129,1,Clg of Letters & Science,physics
235,2017 Spring,1,Near Eastern Studies,162B,1,Clg of Letters & Science,physics
236,2017 Spring,2,Nuclear Engineering,100,1,Clg of Engineering,physics
237,2017 Spring,1,Nuclear Engineering,155,1,Clg of Engineering,physics
238,2017 Spring,2,Nutritional Science & Tox,10,1,Clg of Natural Resources,physics
239,2017 Spring,1,Nutritional Science & Tox,11,1,Clg of Natural Resources,physics
240,2017 Spring,1,Peace & Conflict Studies,151,1,Clg of Letters & Science,physics
241,2017 Spring,1,Persian,20B,1,Clg of Letters & Science,physics
242,2017 Spring,1,Philosophy,3,1,Clg of Letters & Science,physics
243,2017 Spring,1,Philosophy,12A,1,Clg of Letters & Science,physics
244,2017 Spring,2,Philosophy,25B,1,Clg of Letters & Science,physics
245,2017 Spring,2,Philosophy,110,1,Clg of Letters & Science,physics
246,2017 Spring,1,Philosophy,132,1,Clg of Letters & Science,physics
247,2017 Spring,1,Philosophy,172,1,Clg of Letters & Science,physics
248,2017 Spring,1,Philosophy,H196,1,Clg of Letters & Science,physics
249,2017 Spring,1,Philosophy,198,2,Clg of Letters & Science,physics
250,2017 Spring,1,Physical Education,1,3,Clg of Letters & Science,physics
251,2017 Spring,1,Physical Education,1,8,Clg of Letters & Science,physics
252,2017 Spring,1,Physical Education,1,11,Clg of Letters & Science,physics
253,2017 Spring,2,Physical Education,1,15,Clg of Letters & Science,physics
254,2017 Spring,1,Physical Education,1,16,Clg of Letters & Science,physics
255,2017 Spring,1,Physical Education,1,32,Clg of Letters & Science,physics
