Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,political economy
1,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,political economy
2,2017 Spring,1,African American Studies,197,3,Clg of Letters & Science,political economy
3,2017 Spring,1,American Studies,101,1,Clg of Letters & Science,political economy
4,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,political economy
5,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,political economy
6,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,political economy
7,2017 Spring,3,Anthropology,137,1,Clg of Letters & Science,political economy
8,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,political economy
9,2017 Spring,2,Anthropology,180,1,Clg of Letters & Science,political economy
10,2017 Spring,2,Anthropology,198,20,Clg of Letters & Science,political economy
11,2017 Spring,1,Arabic,20B,2,Clg of Letters & Science,political economy
12,2017 Spring,1,Arabic,20B,3,Clg of Letters & Science,political economy
13,2017 Spring,3,Arabic,100B,1,Clg of Letters & Science,political economy
14,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,political economy
15,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,political economy
16,2017 Spring,2,Asian American Studies,121,1,Clg of Letters & Science,political economy
17,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,political economy
18,2017 Spring,1,Asian American Studies,197,1,Clg of Letters & Science,political economy
19,2017 Spring,1,Asian American Studies,197,2,Clg of Letters & Science,political economy
20,2017 Spring,2,Asian Studies,150,1,Clg of Letters & Science,political economy
21,2017 Spring,1,Asian Studies,150,2,Clg of Letters & Science,political economy
22,2017 Spring,1,Asian Studies,198,1,Clg of Letters & Science,political economy
23,2017 Spring,1,Asian Studies,198,2,Clg of Letters & Science,political economy
24,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,political economy
25,2017 Spring,1,Asian Studies,198,5,Clg of Letters & Science,political economy
26,2017 Spring,2,Astronomy,198,2,Clg of Letters & Science,political economy
27,2017 Spring,1,Buddhist Studies,190,1,Clg of Letters & Science,political economy
28,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,political economy
29,2017 Spring,1,Business Admin-Undergrad,101A,1,Haas School of Business,political economy
30,2017 Spring,2,Business Admin-Undergrad,101B,1,Haas School of Business,political economy
31,2017 Spring,3,Business Admin-Undergrad,101B,2,Haas School of Business,political economy
32,2017 Spring,1,Business Admin-Undergrad,101B,3,Haas School of Business,political economy
33,2017 Spring,3,Business Admin-Undergrad,101B,4,Haas School of Business,political economy
34,2017 Spring,2,Business Admin-Undergrad,101B,5,Haas School of Business,political economy
35,2017 Spring,3,Business Admin-Undergrad,102A,1,Haas School of Business,political economy
36,2017 Spring,3,Business Admin-Undergrad,103,1,Haas School of Business,political economy
37,2017 Spring,1,Business Admin-Undergrad,103,2,Haas School of Business,political economy
