Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,psychology
1,2017 Spring,1,African American Studies,101,1,Clg of Letters & Science,psychology
2,2017 Spring,1,African American Studies,117,1,Clg of Letters & Science,psychology
3,2017 Spring,2,African American Studies,131,1,Clg of Letters & Science,psychology
4,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,psychology
5,2017 Spring,5,African American Studies,142AC,1,Clg of Letters & Science,psychology
6,2017 Spring,3,African American Studies,156AC,1,Clg of Letters & Science,psychology
7,2017 Spring,2,African American Studies,197,3,Clg of Letters & Science,psychology
8,2017 Spring,1,American Studies,10,1,Clg of Letters & Science,psychology
9,2017 Spring,1,American Studies,101,1,Clg of Letters & Science,psychology
10,2017 Spring,1,American Studies,102,1,Clg of Letters & Science,psychology
11,2017 Spring,1,American Studies,C112B,1,Clg of Letters & Science,psychology
12,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,psychology
13,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,psychology
14,2017 Spring,3,Anthropology,121AC,1,Clg of Letters & Science,psychology
15,2017 Spring,1,Anthropology,134,1,Clg of Letters & Science,psychology
16,2017 Spring,3,Anthropology,137,1,Clg of Letters & Science,psychology
17,2017 Spring,1,Anthropology,156A,1,Clg of Letters & Science,psychology
18,2017 Spring,6,Anthropology,160AC,1,Clg of Letters & Science,psychology
19,2017 Spring,2,Anthropology,170,1,Clg of Letters & Science,psychology
20,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,psychology
21,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,psychology
22,2017 Spring,4,Anthropology,183,1,Clg of Letters & Science,psychology
23,2017 Spring,3,Anthropology,189,1,Clg of Letters & Science,psychology
24,2017 Spring,1,Anthropology,189,3,Clg of Letters & Science,psychology
25,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,psychology
26,2017 Spring,1,Arabic,1B,6,Clg of Letters & Science,psychology
27,2017 Spring,1,Arabic,20B,1,Clg of Letters & Science,psychology
28,2017 Spring,1,Architecture,98,1,Clg of Environmental Design,psychology
29,2017 Spring,2,Art Practice,8,1,Clg of Letters & Science,psychology
30,2017 Spring,1,Art Practice,13,1,Clg of Letters & Science,psychology
31,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,psychology
32,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,psychology
33,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,psychology
34,2017 Spring,1,Asian American Studies,138,1,Clg of Letters & Science,psychology
35,2017 Spring,2,Asian American Studies,151AC,1,Clg of Letters & Science,psychology
36,2017 Spring,3,Asian American Studies,176,1,Clg of Letters & Science,psychology
37,2017 Spring,1,Asian American Studies,197,1,Clg of Letters & Science,psychology
38,2017 Spring,1,Asian American Studies,197,2,Clg of Letters & Science,psychology
39,2017 Spring,1,Asian American Studies,197,7,Clg of Letters & Science,psychology
40,2017 Spring,1,Asian American Studies,197,10,Clg of Letters & Science,psychology
41,2017 Spring,1,Asian Studies,198,2,Clg of Letters & Science,psychology
42,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,psychology
43,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,psychology
44,2017 Spring,1,Bioengineering,110,1,Clg of Engineering,psychology
45,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,psychology
46,2017 Spring,5,Biology,1A,1,Clg of Letters & Science,psychology
47,2017 Spring,4,Biology,1AL,1,Clg of Letters & Science,psychology
48,2017 Spring,4,Biology,1B,1,Clg of Letters & Science,psychology
49,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,psychology
50,2017 Spring,1,Biology,1B,3,Clg of Letters & Science,psychology
51,2017 Spring,2,Buddhist Studies,C115,1,Clg of Letters & Science,psychology
52,2017 Spring,1,Buddhist Studies,190,1,Clg of Letters & Science,psychology
53,2017 Spring,2,Business Admin-Undergrad,96,1,Haas School of Business,psychology
54,2017 Spring,3,Business Admin-Undergrad,96,3,Haas School of Business,psychology
55,2017 Spring,2,Business Admin-Undergrad,102A,1,Haas School of Business,psychology
56,2017 Spring,1,Business Admin-Undergrad,103,2,Haas School of Business,psychology
57,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,psychology
58,2017 Spring,1,Business Admin-Undergrad,105,1,Haas School of Business,psychology
59,2017 Spring,3,Business Admin-Undergrad,106,1,Haas School of Business,psychology
60,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,psychology
61,2017 Spring,1,Business Admin-Undergrad,120AB,2,Haas School of Business,psychology
62,2017 Spring,1,Business Admin-Undergrad,127,1,Haas School of Business,psychology
63,2017 Spring,1,Business Admin-Undergrad,137,1,Haas School of Business,psychology
64,2017 Spring,2,Business Admin-Undergrad,160,1,Haas School of Business,psychology
65,2017 Spring,1,Business Admin-Undergrad,161,1,Haas School of Business,psychology
66,2017 Spring,4,Business Admin-Undergrad,167,1,Haas School of Business,psychology
67,2017 Spring,2,Business Admin-Undergrad,178,1,Haas School of Business,psychology
