Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,religious studies
1,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,religious studies
2,2017 Spring,1,Architecture,160,1,Clg of Environmental Design,religious studies
3,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,religious studies
4,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,religious studies
5,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,religious studies
6,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,religious studies
7,2017 Spring,2,Buddhist Studies,190,1,Clg of Letters & Science,religious studies
8,2017 Spring,1,East Asian Languages,115,1,Clg of Letters & Science,religious studies
9,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,religious studies
10,2017 Spring,1,Ethnic Studies,145,1,Clg of Letters & Science,religious studies
11,2017 Spring,1,Geography,70AC,1,Clg of Letters & Science,religious studies
12,2017 Spring,1,Physical Education,1,29,Clg of Letters & Science,religious studies
13,2017 Spring,1,Physical Education,2,10,Clg of Letters & Science,religious studies
14,2017 Spring,1,Physical Education,4,1,Clg of Letters & Science,religious studies
15,2017 Spring,2,Psychology,156,1,Clg of Letters & Science,religious studies
16,2017 Spring,1,Sociology,198,6,Clg of Letters & Science,religious studies
