Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,10B,1,Clg of Letters & Science,slavic languages and literature
1,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,slavic languages and literature
2,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,slavic languages and literature
3,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,slavic languages and literature
4,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,slavic languages and literature
5,2017 Spring,1,Energy and Resources,102,1,Clg of Natural Resources,slavic languages and literature
6,2017 Spring,1,History,171C,1,Clg of Letters & Science,slavic languages and literature
7,2017 Spring,1,History,185B,1,Clg of Letters & Science,slavic languages and literature
8,2017 Spring,1,Industrial Eng & Ops Rsch,160,1,Clg of Engineering,slavic languages and literature
9,2017 Spring,1,Letters & Science,C30Y,1,Clg of Letters & Science,slavic languages and literature
10,2017 Spring,1,Music,26AC,1,Clg of Letters & Science,slavic languages and literature
11,2017 Spring,1,Naval Science,12B,1,Clg of Letters & Science,slavic languages and literature
12,2017 Spring,1,Peace & Conflict Studies,190,1,Clg of Letters & Science,slavic languages and literature
13,2017 Spring,1,Political Science,124A,1,Clg of Letters & Science,slavic languages and literature
14,2017 Spring,1,Political Science,141C,1,Clg of Letters & Science,slavic languages and literature
15,2017 Spring,1,Political Science,157A,1,Clg of Letters & Science,slavic languages and literature
16,2017 Spring,1,Political Science,179,1,Clg of Letters & Science,slavic languages and literature
17,2017 Spring,1,Psychology,C61,1,Clg of Letters & Science,slavic languages and literature
18,2017 Spring,1,Russian,103B,1,Clg of Letters & Science,slavic languages and literature
19,2017 Spring,1,Russian,120B,1,Clg of Letters & Science,slavic languages and literature
20,2017 Spring,1,Scandinavian,198,4,Clg of Letters & Science,slavic languages and literature
21,2017 Spring,1,Slavic Languages & Lit,190,1,Clg of Letters & Science,slavic languages and literature
22,2017 Spring,1,Statistics,133,2,Clg of Letters & Science,slavic languages and literature
23,2017 Spring,1,Statistics,198,5,Clg of Letters & Science,slavic languages and literature
