Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,R1A,1,Clg of Letters & Science,society and environment
1,2017 Spring,2,African American Studies,131,1,Clg of Letters & Science,society and environment
2,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,society and environment
3,2017 Spring,2,African American Studies,C156,1,Clg of Letters & Science,society and environment
4,2017 Spring,2,African American Studies,156AC,1,Clg of Letters & Science,society and environment
5,2017 Spring,2,American Studies,10,1,Clg of Letters & Science,society and environment
6,2017 Spring,4,American Studies,C172,1,Clg of Letters & Science,society and environment
7,2017 Spring,2,Anthropology,1,1,Clg of Letters & Science,society and environment
8,2017 Spring,3,Anthropology,2AC,1,Clg of Letters & Science,society and environment
9,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,society and environment
10,2017 Spring,2,Anthropology,121AC,1,Clg of Letters & Science,society and environment
11,2017 Spring,15,Anthropology,137,1,Clg of Letters & Science,society and environment
12,2017 Spring,1,Arabic,1B,1,Clg of Letters & Science,society and environment
13,2017 Spring,1,Arabic,1B,3,Clg of Letters & Science,society and environment
14,2017 Spring,1,Asian American Studies,R2B,2,Clg of Letters & Science,society and environment
15,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,society and environment
16,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,society and environment
17,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,society and environment
18,2017 Spring,1,Biology,1A,2,Clg of Letters & Science,society and environment
19,2017 Spring,1,Biology,1AL,2,Clg of Letters & Science,society and environment
20,2017 Spring,2,Biology,1B,1,Clg of Letters & Science,society and environment
21,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,society and environment
22,2017 Spring,1,Biology,1B,3,Clg of Letters & Science,society and environment
23,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,society and environment
24,2017 Spring,5,Business Admin-Undergrad,107,1,Haas School of Business,society and environment
25,2017 Spring,1,Business Admin-Undergrad,141,1,Haas School of Business,society and environment
26,2017 Spring,1,Business Admin-Undergrad,C172,1,Haas School of Business,society and environment
27,2017 Spring,1,Business Admin-Undergrad,191P,1,Haas School of Business,society and environment
28,2017 Spring,1,Business Admin-Undergrad,192B,1,Haas School of Business,society and environment
29,2017 Spring,2,Business Admin-Undergrad,192N,1,Haas School of Business,society and environment
30,2017 Spring,2,Business Admin-Undergrad,196,2,Haas School of Business,society and environment
31,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,society and environment
32,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,society and environment
33,2017 Spring,1,Chemistry,1AL,2,Clg of Chemistry,society and environment
34,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,society and environment
35,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,society and environment
36,2017 Spring,3,Chemistry,3A,2,Clg of Chemistry,society and environment
37,2017 Spring,1,Chemistry,3AL,1,Clg of Chemistry,society and environment
38,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,society and environment
39,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,society and environment
40,2017 Spring,1,Chinese,1B,3,Clg of Letters & Science,society and environment
41,2017 Spring,2,City & Regional Planning,101,1,Clg of Environmental Design,society and environment
42,2017 Spring,5,City & Regional Planning,113B,1,Clg of Environmental Design,society and environment
43,2017 Spring,1,City & Regional Planning,116,1,Clg of Environmental Design,society and environment
44,2017 Spring,6,City & Regional Planning,118AC,1,Clg of Environmental Design,society and environment
45,2017 Spring,1,City & Regional Planning,120,1,Clg of Environmental Design,society and environment
46,2017 Spring,1,City & Regional Planning,180,1,Clg of Environmental Design,society and environment
47,2017 Spring,1,City & Regional Planning,190,1,Clg of Environmental Design,society and environment
48,2017 Spring,1,City & Regional Planning,198,1,Clg of Environmental Design,society and environment
49,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,society and environment
50,2017 Spring,3,Classics,28,1,Clg of Letters & Science,society and environment
51,2017 Spring,1,College Writing Programs,R4B,6,Clg of Letters & Science,society and environment
52,2017 Spring,1,College Writing Programs,25AC,1,Clg of Letters & Science,society and environment
53,2017 Spring,1,College Writing Programs,151,1,Clg of Letters & Science,society and environment
54,2017 Spring,1,Comparative Literature,R1A,5,Clg of Letters & Science,society and environment
55,2017 Spring,4,Computer Science,C8,1,Clg of Engineering,society and environment
56,2017 Spring,1,Computer Science,197,209,Clg of Engineering,society and environment
57,2017 Spring,1,Computer Science,198,56,Clg of Engineering,society and environment
58,2017 Spring,2,Czech,163,1,Clg of Letters & Science,society and environment
