Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Bengali,101B,1,Clg of Letters & Science,south and southeast asian studies
1,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,south and southeast asian studies
2,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,south and southeast asian studies
3,2017 Spring,1,Buddhist Studies,190,1,Clg of Letters & Science,south and southeast asian studies
4,2017 Spring,1,Chemistry,3A,2,Clg of Chemistry,south and southeast asian studies
5,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,south and southeast asian studies
6,2017 Spring,1,Chinese,10B,1,Clg of Letters & Science,south and southeast asian studies
7,2017 Spring,1,"Env Sci, Policy, & Mgmt",144,1,Clg of Natural Resources,south and southeast asian studies
8,2017 Spring,1,Filipino,W100B,1,Clg of Letters & Science,south and southeast asian studies
9,2017 Spring,1,Geography,C160B,1,Clg of Letters & Science,south and southeast asian studies
10,2017 Spring,1,Hindi-Urdu,100B,1,Clg of Letters & Science,south and southeast asian studies
11,2017 Spring,2,Hindi-Urdu,101B,1,Clg of Letters & Science,south and southeast asian studies
12,2017 Spring,1,History,100F,2,Clg of Letters & Science,south and southeast asian studies
13,2017 Spring,1,History,101,4,Clg of Letters & Science,south and southeast asian studies
14,2017 Spring,1,History,103F,1,Clg of Letters & Science,south and southeast asian studies
15,2017 Spring,2,History,111B,1,Clg of Letters & Science,south and southeast asian studies
16,2017 Spring,1,History of Art,35,1,Clg of Letters & Science,south and southeast asian studies
17,2017 Spring,1,Industrial Eng & Ops Rsch,131,1,Clg of Engineering,south and southeast asian studies
18,2017 Spring,1,Industrial Eng & Ops Rsch,170,1,Clg of Engineering,south and southeast asian studies
19,2017 Spring,1,Industrial Eng & Ops Rsch,173,1,Clg of Engineering,south and southeast asian studies
20,2017 Spring,1,Integrative Biology,138,1,Clg of Letters & Science,south and southeast asian studies
21,2017 Spring,1,International & Area Stds,150,5,Clg of Letters & Science,south and southeast asian studies
22,2017 Spring,1,Khmer,101B,1,Clg of Letters & Science,south and southeast asian studies
23,2017 Spring,1,Korean,1B,5,Clg of Letters & Science,south and southeast asian studies
24,2017 Spring,1,Molecular & Cell Biology,102,1,Clg of Letters & Science,south and southeast asian studies
25,2017 Spring,1,Molecular & Cell Biology,C103,1,Clg of Letters & Science,south and southeast asian studies
26,2017 Spring,1,Molecular & Cell Biology,133L,1,Clg of Letters & Science,south and southeast asian studies
27,2017 Spring,1,Molecular & Cell Biology,C148,1,Clg of Letters & Science,south and southeast asian studies
28,2017 Spring,1,Molecular & Cell Biology,160L,1,Clg of Letters & Science,south and southeast asian studies
29,2017 Spring,1,Molecular & Cell Biology,161,1,Clg of Letters & Science,south and southeast asian studies
30,2017 Spring,1,Molecular & Cell Biology,180,1,Clg of Letters & Science,south and southeast asian studies
31,2017 Spring,1,Near Eastern Studies,129,1,Clg of Letters & Science,south and southeast asian studies
32,2017 Spring,1,Nutritional Science & Tox,115,1,Clg of Natural Resources,south and southeast asian studies
33,2017 Spring,1,Physical Education,2,15,Clg of Letters & Science,south and southeast asian studies
34,2017 Spring,1,Physical Education,4,4,Clg of Letters & Science,south and southeast asian studies
35,2017 Spring,1,Political Science,106A,1,Clg of Letters & Science,south and southeast asian studies
36,2017 Spring,1,Political Science,191,3,Clg of Letters & Science,south and southeast asian studies
37,2017 Spring,1,Psychology,C61,1,Clg of Letters & Science,south and southeast asian studies
38,2017 Spring,1,Public Health,150E,1,School of Public Health,south and southeast asian studies
39,2017 Spring,1,Public Health,196,6,School of Public Health,south and southeast asian studies
40,2017 Spring,1,Social Welfare,112,1,School of Social Welfare,south and southeast asian studies
41,2017 Spring,1,Social Welfare,148,1,School of Social Welfare,south and southeast asian studies
42,2017 Spring,4,South & SE Asian Studies,120,1,Clg of Letters & Science,south and southeast asian studies
43,2017 Spring,3,South & SE Asian Studies,C145,1,Clg of Letters & Science,south and southeast asian studies
44,2017 Spring,5,South & SE Asian Studies,150,1,Clg of Letters & Science,south and southeast asian studies
45,2017 Spring,1,South Asian,1B,1,Clg of Letters & Science,south and southeast asian studies
46,2017 Spring,3,South Asian,142,1,Clg of Letters & Science,south and southeast asian studies
47,2017 Spring,1,Statistics,20,1,Clg of Letters & Science,south and southeast asian studies
48,2017 Spring,2,Thai,1B,1,Clg of Letters & Science,south and southeast asian studies
49,2017 Spring,1,Vietnamese,100B,1,Clg of Letters & Science,south and southeast asian studies
