Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,118,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
1,2017 Spring,1,Arabic,1B,2,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
2,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,spanish portuguese hispanic languages linguistics and bilingualism
3,2017 Spring,1,Chicano Studies,141,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
4,2017 Spring,1,Chicano Studies,174,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
5,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
6,2017 Spring,1,Chicano Studies,180,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
7,2017 Spring,1,Development Studies,C100,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
8,2017 Spring,1,Education,131AC,1,Grad School of Education,spanish portuguese hispanic languages linguistics and bilingualism
9,2017 Spring,1,Education,190AC,1,Grad School of Education,spanish portuguese hispanic languages linguistics and bilingualism
10,2017 Spring,1,Education,190AC,3,Grad School of Education,spanish portuguese hispanic languages linguistics and bilingualism
11,2017 Spring,1,English,C136,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
12,2017 Spring,1,English,180Z,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
13,2017 Spring,1,"Env Sci, Policy, & Mgmt",90,1,Clg of Natural Resources,spanish portuguese hispanic languages linguistics and bilingualism
14,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,spanish portuguese hispanic languages linguistics and bilingualism
15,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,14,Clg of Natural Resources,spanish portuguese hispanic languages linguistics and bilingualism
16,2017 Spring,1,Ethnic Studies,11AC,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
17,2017 Spring,1,Ethnic Studies,100,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
18,2017 Spring,1,Ethnic Studies,198,4,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
19,2017 Spring,1,French,120B,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
20,2017 Spring,1,German,102A,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
21,2017 Spring,1,Global Studies,110L,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
22,2017 Spring,1,History,7B,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
23,2017 Spring,1,History,8B,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
24,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
25,2017 Spring,1,Integrative Biology,C143B,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
26,2017 Spring,1,International & Area Stds,106,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
27,2017 Spring,1,Legal Studies,132AC,1,School of Law,spanish portuguese hispanic languages linguistics and bilingualism
28,2017 Spring,1,Legal Studies,198,2,School of Law,spanish portuguese hispanic languages linguistics and bilingualism
29,2017 Spring,1,Letters & Science,70C,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
30,2017 Spring,1,Linguistics,100,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
31,2017 Spring,1,Mathematics,55,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
32,2017 Spring,1,Mathematics,104,5,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
33,2017 Spring,1,Mathematics,153,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
34,2017 Spring,1,Mathematics,160,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
35,2017 Spring,1,Molecular & Cell Biology,104,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
36,2017 Spring,1,Molecular & Cell Biology,133L,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
37,2017 Spring,1,Music,25A,2,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
38,2017 Spring,1,Optometry,10,1,School of Optometry,spanish portuguese hispanic languages linguistics and bilingualism
39,2017 Spring,1,Physical Education,2,10,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
40,2017 Spring,2,Physics,8B,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
41,2017 Spring,1,Political Science,1,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
42,2017 Spring,1,Political Science,157A,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
43,2017 Spring,1,Political Science,179,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
44,2017 Spring,1,Portuguese,101,2,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
45,2017 Spring,1,Psychology,131,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
46,2017 Spring,1,Psychology,156,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
47,2017 Spring,1,Public Health,150A,1,School of Public Health,spanish portuguese hispanic languages linguistics and bilingualism
48,2017 Spring,1,Public Health,150E,1,School of Public Health,spanish portuguese hispanic languages linguistics and bilingualism
49,2017 Spring,1,Public Health,196,6,School of Public Health,spanish portuguese hispanic languages linguistics and bilingualism
50,2017 Spring,1,Public Policy,98,3,Goldman School Public Policy,spanish portuguese hispanic languages linguistics and bilingualism
51,2017 Spring,1,Slavic Languages & Lit,133,1,Clg of Letters & Science,spanish portuguese hispanic languages linguistics and bilingualism
