Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Catalan,101,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
1,2017 Spring,1,Education,197,1,Grad School of Education,spanish portuguese iberian languages and literature
2,2017 Spring,1,Ethnic Studies,197,6,Clg of Letters & Science,spanish portuguese iberian languages and literature
3,2017 Spring,1,Gender & Womens Studies,134,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
4,2017 Spring,1,Legal Studies,132AC,1,School of Law,spanish portuguese iberian languages and literature
5,2017 Spring,1,Linguistics,47,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
6,2017 Spring,1,Political Science,124C,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
7,2017 Spring,1,Political Science,143B,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
8,2017 Spring,1,Political Science,148A,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
9,2017 Spring,1,Portuguese,103,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
10,2017 Spring,1,Portuguese,113,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
11,2017 Spring,2,Portuguese,135,2,Clg of Letters & Science,spanish portuguese iberian languages and literature
12,2017 Spring,1,Psychology,C143,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
13,2017 Spring,1,Psychology,146,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
14,2017 Spring,1,Psychology,H194B,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
15,2017 Spring,1,Public Health,150E,1,School of Public Health,spanish portuguese iberian languages and literature
16,2017 Spring,1,Public Health,196,6,School of Public Health,spanish portuguese iberian languages and literature
17,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,spanish portuguese iberian languages and literature
18,2017 Spring,1,Sociology,140,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
19,2017 Spring,1,Sociology,190,7,Clg of Letters & Science,spanish portuguese iberian languages and literature
20,2017 Spring,1,Spanish,100,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
21,2017 Spring,2,Spanish,107B,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
22,2017 Spring,2,Spanish,111B,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
23,2017 Spring,1,Spanish,135W,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
24,2017 Spring,1,Spanish,163,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
25,2017 Spring,1,Spanish,179,1,Clg of Letters & Science,spanish portuguese iberian languages and literature
