Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,spanish portuguese latin american languages and literature
1,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,spanish portuguese latin american languages and literature
2,2017 Spring,1,Chemistry,3AL,1,Clg of Chemistry,spanish portuguese latin american languages and literature
3,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,spanish portuguese latin american languages and literature
4,2017 Spring,1,Development Studies,C100,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
5,2017 Spring,1,Geography,130,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
6,2017 Spring,1,Geography,140A,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
7,2017 Spring,1,Legal Studies,100,1,School of Law,spanish portuguese latin american languages and literature
8,2017 Spring,1,Legal Studies,160,1,School of Law,spanish portuguese latin american languages and literature
9,2017 Spring,1,Mathematics,10B,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
10,2017 Spring,1,Mathematics,98,21,Clg of Letters & Science,spanish portuguese latin american languages and literature
11,2017 Spring,1,Peace & Conflict Studies,190,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
12,2017 Spring,1,Political Science,148A,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
13,2017 Spring,1,Political Science,186,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
14,2017 Spring,1,Portuguese,101,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
15,2017 Spring,1,Portuguese,104,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
16,2017 Spring,3,Portuguese,113,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
17,2017 Spring,1,Public Health,198,14,School of Public Health,spanish portuguese latin american languages and literature
18,2017 Spring,1,Rhetoric,151,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
19,2017 Spring,1,Spanish,102A,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
20,2017 Spring,1,Spanish,104B,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
21,2017 Spring,2,Spanish,135,2,Clg of Letters & Science,spanish portuguese latin american languages and literature
22,2017 Spring,4,Spanish,135,3,Clg of Letters & Science,spanish portuguese latin american languages and literature
23,2017 Spring,1,Spanish,135W,1,Clg of Letters & Science,spanish portuguese latin american languages and literature
24,2017 Spring,1,Spanish,198,2,Clg of Letters & Science,spanish portuguese latin american languages and literature
