Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,American Studies,H195,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
1,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
2,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
3,2017 Spring,1,Anthropology,134,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
4,2017 Spring,1,Business Admin-Undergrad,10,1,Haas School of Business,spanish portuguese spanish languages and literature
5,2017 Spring,1,Business Admin-Undergrad,192T,2,Haas School of Business,spanish portuguese spanish languages and literature
6,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,spanish portuguese spanish languages and literature
7,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
8,2017 Spring,1,Chicano Studies,150B,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
9,2017 Spring,3,Chicano Studies,180,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
10,2017 Spring,1,Chicano Studies,180,2,Clg of Letters & Science,spanish portuguese spanish languages and literature
11,2017 Spring,1,Chicano Studies,197,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
12,2017 Spring,1,East Asian Languages,112,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
13,2017 Spring,1,Economics,1,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
14,2017 Spring,1,Economics,140,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
15,2017 Spring,1,Education,197,12,Grad School of Education,spanish portuguese spanish languages and literature
16,2017 Spring,1,Education,197,63,Grad School of Education,spanish portuguese spanish languages and literature
17,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,spanish portuguese spanish languages and literature
18,2017 Spring,2,Ethnic Studies,11AC,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
19,2017 Spring,1,Ethnic Studies,101B,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
20,2017 Spring,1,Ethnic Studies,122AC,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
21,2017 Spring,1,Ethnic Studies,181AC,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
22,2017 Spring,1,Ethnic Studies,197,3,Clg of Letters & Science,spanish portuguese spanish languages and literature
23,2017 Spring,1,Ethnic Studies,197,4,Clg of Letters & Science,spanish portuguese spanish languages and literature
24,2017 Spring,1,Ethnic Studies,197,6,Clg of Letters & Science,spanish portuguese spanish languages and literature
25,2017 Spring,1,Ethnic Studies,197,9,Clg of Letters & Science,spanish portuguese spanish languages and literature
26,2017 Spring,1,Ethnic Studies,198,13,Clg of Letters & Science,spanish portuguese spanish languages and literature
27,2017 Spring,1,Finnish,102B,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
28,2017 Spring,1,Geography,C155,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
29,2017 Spring,1,History,8B,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
30,2017 Spring,1,History,101,9,Clg of Letters & Science,spanish portuguese spanish languages and literature
31,2017 Spring,1,History,136C,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
32,2017 Spring,1,History,141B,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
33,2017 Spring,1,History,164A,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
34,2017 Spring,1,History of Art,R1B,8,Clg of Letters & Science,spanish portuguese spanish languages and literature
35,2017 Spring,1,Integrative Biology,132,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
36,2017 Spring,1,Integrative Biology,132L,3,Clg of Letters & Science,spanish portuguese spanish languages and literature
37,2017 Spring,1,Integrative Biology,C143B,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
38,2017 Spring,1,Legal Studies,132AC,1,School of Law,spanish portuguese spanish languages and literature
39,2017 Spring,1,Letters & Science,C70T,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
40,2017 Spring,1,Linguistics,115,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
41,2017 Spring,1,Linguistics,120,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
42,2017 Spring,1,Mathematics,16B,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
43,2017 Spring,1,Mathematics,32,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
44,2017 Spring,1,Mathematics,198,2,Clg of Letters & Science,spanish portuguese spanish languages and literature
45,2017 Spring,1,Molecular & Cell Biology,102,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
46,2017 Spring,1,Molecular & Cell Biology,165,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
47,2017 Spring,1,Music,198,3,Clg of Letters & Science,spanish portuguese spanish languages and literature
48,2017 Spring,2,Nutritional Science & Tox,10,1,Clg of Natural Resources,spanish portuguese spanish languages and literature
49,2017 Spring,1,Peace & Conflict Studies,135,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
50,2017 Spring,1,Political Science,157A,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
51,2017 Spring,1,Portuguese,113,1,Clg of Letters & Science,spanish portuguese spanish languages and literature
52,2017 Spring,1,Public Health,116,1,School of Public Health,spanish portuguese spanish languages and literature
53,2017 Spring,1,Public Health,150E,1,School of Public Health,spanish portuguese spanish languages and literature
54,2017 Spring,1,Public Health,196,6,School of Public Health,spanish portuguese spanish languages and literature
55,2017 Spring,1,Public Health,196,7,School of Public Health,spanish portuguese spanish languages and literature
56,2017 Spring,1,Public Health,198,14,School of Public Health,spanish portuguese spanish languages and literature
57,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,spanish portuguese spanish languages and literature
