Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,197,3,Clg of Letters & Science,statistics
1,2017 Spring,3,Anthropology,2AC,1,Clg of Letters & Science,statistics
2,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,statistics
3,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,statistics
4,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,statistics
5,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,statistics
6,2017 Spring,2,Architecture,170B,1,Clg of Environmental Design,statistics
7,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,statistics
8,2017 Spring,1,Art Practice,8,1,Clg of Letters & Science,statistics
9,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,statistics
10,2017 Spring,2,Asian American Studies,198,3,Clg of Letters & Science,statistics
11,2017 Spring,2,Asian American Studies,198,4,Clg of Letters & Science,statistics
12,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,statistics
13,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,statistics
14,2017 Spring,3,Asian Studies,198,5,Clg of Letters & Science,statistics
15,2017 Spring,2,Astronomy,C12,1,Clg of Letters & Science,statistics
16,2017 Spring,1,Bioengineering,198,27,Clg of Engineering,statistics
17,2017 Spring,3,Business Admin-Undergrad,96,1,Haas School of Business,statistics
18,2017 Spring,3,Business Admin-Undergrad,96,2,Haas School of Business,statistics
19,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,statistics
20,2017 Spring,1,Business Admin-Undergrad,100,1,Haas School of Business,statistics
21,2017 Spring,1,Business Admin-Undergrad,100,6,Haas School of Business,statistics
22,2017 Spring,7,Business Admin-Undergrad,101A,1,Haas School of Business,statistics
23,2017 Spring,5,Business Admin-Undergrad,101B,1,Haas School of Business,statistics
24,2017 Spring,1,Business Admin-Undergrad,101B,2,Haas School of Business,statistics
25,2017 Spring,1,Business Admin-Undergrad,101B,3,Haas School of Business,statistics
26,2017 Spring,1,Business Admin-Undergrad,101B,4,Haas School of Business,statistics
27,2017 Spring,1,Business Admin-Undergrad,101B,5,Haas School of Business,statistics
28,2017 Spring,12,Business Admin-Undergrad,102A,1,Haas School of Business,statistics
29,2017 Spring,2,Business Admin-Undergrad,102B,1,Haas School of Business,statistics
30,2017 Spring,9,Business Admin-Undergrad,102B,2,Haas School of Business,statistics
31,2017 Spring,4,Business Admin-Undergrad,103,1,Haas School of Business,statistics
32,2017 Spring,12,Business Admin-Undergrad,103,2,Haas School of Business,statistics
33,2017 Spring,9,Business Admin-Undergrad,104,1,Haas School of Business,statistics
34,2017 Spring,2,Business Admin-Undergrad,105,1,Haas School of Business,statistics
35,2017 Spring,9,Business Admin-Undergrad,106,1,Haas School of Business,statistics
36,2017 Spring,6,Business Admin-Undergrad,107,1,Haas School of Business,statistics
37,2017 Spring,3,Business Admin-Undergrad,115,1,Haas School of Business,statistics
38,2017 Spring,12,Business Admin-Undergrad,118,1,Haas School of Business,statistics
39,2017 Spring,1,Business Admin-Undergrad,119,1,Haas School of Business,statistics
40,2017 Spring,3,Business Admin-Undergrad,120AB,1,Haas School of Business,statistics
41,2017 Spring,7,Business Admin-Undergrad,120AB,2,Haas School of Business,statistics
42,2017 Spring,1,Business Admin-Undergrad,120B,1,Haas School of Business,statistics
43,2017 Spring,3,Business Admin-Undergrad,127,1,Haas School of Business,statistics
44,2017 Spring,3,Business Admin-Undergrad,131,1,Haas School of Business,statistics
45,2017 Spring,5,Business Admin-Undergrad,137,1,Haas School of Business,statistics
46,2017 Spring,2,Business Admin-Undergrad,141,1,Haas School of Business,statistics
47,2017 Spring,1,Business Admin-Undergrad,152,2,Haas School of Business,statistics
48,2017 Spring,1,Business Admin-Undergrad,157,1,Haas School of Business,statistics
49,2017 Spring,3,Business Admin-Undergrad,161,1,Haas School of Business,statistics
50,2017 Spring,1,Business Admin-Undergrad,167,1,Haas School of Business,statistics
51,2017 Spring,1,Business Admin-Undergrad,169,1,Haas School of Business,statistics
52,2017 Spring,2,Business Admin-Undergrad,178,1,Haas School of Business,statistics
53,2017 Spring,3,Business Admin-Undergrad,180,1,Haas School of Business,statistics
54,2017 Spring,1,Business Admin-Undergrad,190T,3,Haas School of Business,statistics
55,2017 Spring,1,Business Admin-Undergrad,192T,2,Haas School of Business,statistics
56,2017 Spring,1,Business Admin-Undergrad,193C,1,Haas School of Business,statistics
57,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,statistics
58,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,statistics
59,2017 Spring,1,Business Admin-Undergrad,198,3,Haas School of Business,statistics
60,2017 Spring,2,Business Admin-Undergrad,198,4,Haas School of Business,statistics
61,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,statistics
62,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,statistics
63,2017 Spring,1,Chemistry,104B,1,Clg of Chemistry,statistics
64,2017 Spring,1,Chemistry,105,1,Clg of Chemistry,statistics
65,2017 Spring,1,Chemistry,112B,1,Clg of Chemistry,statistics
66,2017 Spring,1,Chemistry,115,1,Clg of Chemistry,statistics
67,2017 Spring,2,Chemistry,125,1,Clg of Chemistry,statistics
68,2017 Spring,1,Chemistry,130B,1,Clg of Chemistry,statistics
69,2017 Spring,1,Chemistry,C191,1,Clg of Chemistry,statistics
70,2017 Spring,2,Chinese,1B,3,Clg of Letters & Science,statistics
71,2017 Spring,1,Chinese,7B,1,Clg of Letters & Science,statistics
72,2017 Spring,1,Chinese,101,2,Clg of Letters & Science,statistics
73,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,statistics
74,2017 Spring,1,City & Regional Planning,101,1,Clg of Environmental Design,statistics
75,2017 Spring,3,City & Regional Planning,118AC,1,Clg of Environmental Design,statistics
76,2017 Spring,1,City & Regional Planning,190,3,Clg of Environmental Design,statistics
77,2017 Spring,1,Civil & Environmental Eng,11,1,Clg of Engineering,statistics
78,2017 Spring,1,Civil & Environmental Eng,198,2,Clg of Engineering,statistics
79,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,statistics
80,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,statistics
81,2017 Spring,4,Classics,28,1,Clg of Letters & Science,statistics
82,2017 Spring,1,Cognitive Science,C126,1,Clg of Letters & Science,statistics
83,2017 Spring,2,Cognitive Science,C140,1,Clg of Letters & Science,statistics
84,2017 Spring,2,Cognitive Science,198,1,Clg of Letters & Science,statistics
85,2017 Spring,1,College Writing Programs,10A,4,Clg of Letters & Science,statistics
86,2017 Spring,1,College Writing Programs,25AC,1,Clg of Letters & Science,statistics
87,2017 Spring,1,College Writing Programs,50AC,1,Clg of Letters & Science,statistics
88,2017 Spring,1,College Writing Programs,110,1,Clg of Letters & Science,statistics
89,2017 Spring,9,Computer Science,C8,1,Clg of Engineering,statistics
90,2017 Spring,4,Computer Science,9F,1,Clg of Engineering,statistics
91,2017 Spring,2,Computer Science,9H,1,Clg of Engineering,statistics
92,2017 Spring,20,Computer Science,61A,1,Clg of Engineering,statistics
93,2017 Spring,18,Computer Science,61B,1,Clg of Engineering,statistics
94,2017 Spring,6,Computer Science,61C,1,Clg of Engineering,statistics
95,2017 Spring,3,Computer Science,70,1,Clg of Engineering,statistics
96,2017 Spring,1,Computer Science,97,212,Clg of Engineering,statistics
97,2017 Spring,6,Computer Science,C100,1,Clg of Engineering,statistics
98,2017 Spring,2,Computer Science,160,1,Clg of Engineering,statistics
99,2017 Spring,11,Computer Science,161,1,Clg of Engineering,statistics
100,2017 Spring,12,Computer Science,162,1,Clg of Engineering,statistics
101,2017 Spring,2,Computer Science,164,1,Clg of Engineering,statistics
102,2017 Spring,9,Computer Science,170,1,Clg of Engineering,statistics
103,2017 Spring,4,Computer Science,174,1,Clg of Engineering,statistics
104,2017 Spring,5,Computer Science,184,1,Clg of Engineering,statistics
105,2017 Spring,15,Computer Science,186,1,Clg of Engineering,statistics
106,2017 Spring,4,Computer Science,188,1,Clg of Engineering,statistics
107,2017 Spring,32,Computer Science,189,1,Clg of Engineering,statistics
108,2017 Spring,1,Computer Science,C191,1,Clg of Engineering,statistics
109,2017 Spring,2,Computer Science,194,133,Clg of Engineering,statistics
110,2017 Spring,1,Computer Science,195,1,Clg of Engineering,statistics
111,2017 Spring,1,Computer Science,197,203,Clg of Engineering,statistics
112,2017 Spring,1,Computer Science,197,205,Clg of Engineering,statistics
113,2017 Spring,1,Computer Science,197,206,Clg of Engineering,statistics
114,2017 Spring,3,Computer Science,197,214,Clg of Engineering,statistics
115,2017 Spring,1,Computer Science,197,216,Clg of Engineering,statistics
116,2017 Spring,1,Computer Science,198,1,Clg of Engineering,statistics
