Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,sustainable environmental design
1,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,sustainable environmental design
2,2017 Spring,3,Anthropology,2AC,1,Clg of Letters & Science,sustainable environmental design
3,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,sustainable environmental design
4,2017 Spring,3,Anthropology,137,1,Clg of Letters & Science,sustainable environmental design
5,2017 Spring,1,Architecture,11B,1,Clg of Environmental Design,sustainable environmental design
6,2017 Spring,1,Architecture,98,6,Clg of Environmental Design,sustainable environmental design
7,2017 Spring,33,Architecture,140,1,Clg of Environmental Design,sustainable environmental design
8,2017 Spring,1,Architecture,169,3,Clg of Environmental Design,sustainable environmental design
9,2017 Spring,1,Art Practice,15,1,Clg of Letters & Science,sustainable environmental design
10,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,sustainable environmental design
11,2017 Spring,1,Bioengineering,84,1,Clg of Engineering,sustainable environmental design
12,2017 Spring,1,Bosnian/Croatian/Serbian,27B,1,Clg of Letters & Science,sustainable environmental design
13,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,sustainable environmental design
14,2017 Spring,2,Business Admin-Undergrad,10,1,Haas School of Business,sustainable environmental design
15,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,sustainable environmental design
16,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,sustainable environmental design
17,2017 Spring,2,Business Admin-Undergrad,192N,1,Haas School of Business,sustainable environmental design
18,2017 Spring,1,Business Admin-Undergrad,192T,2,Haas School of Business,sustainable environmental design
19,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,sustainable environmental design
20,2017 Spring,1,Celtic Studies,R1B,1,Clg of Letters & Science,sustainable environmental design
21,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,sustainable environmental design
22,2017 Spring,1,Chemistry,1A,2,Clg of Chemistry,sustainable environmental design
23,2017 Spring,3,Chemistry,1AL,1,Clg of Chemistry,sustainable environmental design
24,2017 Spring,1,Chicano Studies,R1B,1,Clg of Letters & Science,sustainable environmental design
25,2017 Spring,1,Chinese,101,2,Clg of Letters & Science,sustainable environmental design
26,2017 Spring,1,City & Regional Planning,98,1,Clg of Environmental Design,sustainable environmental design
27,2017 Spring,4,City & Regional Planning,101,1,Clg of Environmental Design,sustainable environmental design
28,2017 Spring,9,City & Regional Planning,113B,1,Clg of Environmental Design,sustainable environmental design
29,2017 Spring,2,City & Regional Planning,114,1,Clg of Environmental Design,sustainable environmental design
30,2017 Spring,2,City & Regional Planning,116,1,Clg of Environmental Design,sustainable environmental design
31,2017 Spring,6,City & Regional Planning,118AC,1,Clg of Environmental Design,sustainable environmental design
