Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,theater and performance studies
1,2017 Spring,1,American Studies,101,1,Clg of Letters & Science,theater and performance studies
2,2017 Spring,1,American Studies,C152,1,Clg of Letters & Science,theater and performance studies
3,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,theater and performance studies
4,2017 Spring,1,Art Practice,100,1,Clg of Letters & Science,theater and performance studies
5,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,theater and performance studies
6,2017 Spring,1,Business Admin-Undergrad,127,1,Haas School of Business,theater and performance studies
7,2017 Spring,1,Business Admin-Undergrad,157,1,Haas School of Business,theater and performance studies
8,2017 Spring,1,Business Admin-Undergrad,178,1,Haas School of Business,theater and performance studies
9,2017 Spring,1,Business Admin-Undergrad,190T,2,Haas School of Business,theater and performance studies
10,2017 Spring,1,Celtic Studies,125,1,Clg of Letters & Science,theater and performance studies
11,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,theater and performance studies
12,2017 Spring,1,Chemistry,3B,1,Clg of Chemistry,theater and performance studies
13,2017 Spring,1,Chicano Studies,174,1,Clg of Letters & Science,theater and performance studies
14,2017 Spring,1,Civil & Environmental Eng,198,2,Clg of Engineering,theater and performance studies
15,2017 Spring,1,Classics,28,1,Clg of Letters & Science,theater and performance studies
16,2017 Spring,1,Computer Science,10,1,Clg of Engineering,theater and performance studies
17,2017 Spring,1,Computer Science,160,2,Clg of Engineering,theater and performance studies
18,2017 Spring,1,Computer Science,160,3,Clg of Engineering,theater and performance studies
19,2017 Spring,1,Computer Science,186,1,Clg of Engineering,theater and performance studies
20,2017 Spring,1,Computer Science,198,67,Clg of Engineering,theater and performance studies
21,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,theater and performance studies
22,2017 Spring,2,East Asian Languages,105,1,Clg of Letters & Science,theater and performance studies
23,2017 Spring,1,Economics,1,1,Clg of Letters & Science,theater and performance studies
24,2017 Spring,2,Economics,100B,1,Clg of Letters & Science,theater and performance studies
25,2017 Spring,1,Economics,115,1,Clg of Letters & Science,theater and performance studies
26,2017 Spring,1,Economics,140,1,Clg of Letters & Science,theater and performance studies
27,2017 Spring,1,Economics,151,1,Clg of Letters & Science,theater and performance studies
28,2017 Spring,1,Economics,157,1,Clg of Letters & Science,theater and performance studies
29,2017 Spring,1,Economics,172,1,Clg of Letters & Science,theater and performance studies
30,2017 Spring,1,Education,198,1,Grad School of Education,theater and performance studies
31,2017 Spring,1,English,117S,2,Clg of Letters & Science,theater and performance studies
32,2017 Spring,1,English,166,5,Clg of Letters & Science,theater and performance studies
33,2017 Spring,1,English,190,10,Clg of Letters & Science,theater and performance studies
34,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,theater and performance studies
35,2017 Spring,1,Environ Econ & Policy,C118,1,Clg of Natural Resources,theater and performance studies
36,2017 Spring,3,Environ Econ & Policy,143,1,Clg of Natural Resources,theater and performance studies
37,2017 Spring,1,Environmental Design,100,1,Clg of Environmental Design,theater and performance studies
38,2017 Spring,1,Ethnic Studies,11AC,1,Clg of Letters & Science,theater and performance studies
39,2017 Spring,1,Ethnic Studies,101B,1,Clg of Letters & Science,theater and performance studies
40,2017 Spring,1,Ethnic Studies,197,9,Clg of Letters & Science,theater and performance studies
41,2017 Spring,1,Ethnic Studies,198,7,Clg of Letters & Science,theater and performance studies
42,2017 Spring,1,Filipino,1B,1,Clg of Letters & Science,theater and performance studies
43,2017 Spring,1,Filipino,1B,3,Clg of Letters & Science,theater and performance studies
44,2017 Spring,1,Film,20,1,Clg of Letters & Science,theater and performance studies
45,2017 Spring,1,Film,108,1,Clg of Letters & Science,theater and performance studies
46,2017 Spring,1,Film,108,2,Clg of Letters & Science,theater and performance studies
47,2017 Spring,1,Film,151,1,Clg of Letters & Science,theater and performance studies
48,2017 Spring,1,Film,180,1,Clg of Letters & Science,theater and performance studies
49,2017 Spring,1,French,1,3,Clg of Letters & Science,theater and performance studies
50,2017 Spring,1,French,3,4,Clg of Letters & Science,theater and performance studies
51,2017 Spring,1,Gender & Womens Studies,100AC,1,Clg of Letters & Science,theater and performance studies
52,2017 Spring,1,Geography,170,4,Clg of Letters & Science,theater and performance studies
53,2017 Spring,1,History,4B,1,Clg of Letters & Science,theater and performance studies
54,2017 Spring,1,History,7B,1,Clg of Letters & Science,theater and performance studies
55,2017 Spring,1,History,100U,1,Clg of Letters & Science,theater and performance studies
56,2017 Spring,1,History,101,1,Clg of Letters & Science,theater and performance studies
57,2017 Spring,1,History,112C,1,Clg of Letters & Science,theater and performance studies
58,2017 Spring,1,History,136C,1,Clg of Letters & Science,theater and performance studies
59,2017 Spring,1,History,160,1,Clg of Letters & Science,theater and performance studies
60,2017 Spring,1,History,162B,1,Clg of Letters & Science,theater and performance studies
61,2017 Spring,1,History of Art,C109,1,Clg of Letters & Science,theater and performance studies
62,2017 Spring,1,Integrative Biology,31,1,Clg of Letters & Science,theater and performance studies
63,2017 Spring,1,Integrative Biology,198,1,Clg of Letters & Science,theater and performance studies
64,2017 Spring,1,Interdisciplinary Studies,100C,1,Clg of Letters & Science,theater and performance studies
65,2017 Spring,1,Japanese,1B,2,Clg of Letters & Science,theater and performance studies
66,2017 Spring,1,Japanese,1B,7,Clg of Letters & Science,theater and performance studies
67,2017 Spring,1,Jewish Studies,120,1,Clg of Letters & Science,theater and performance studies
68,2017 Spring,1,Korean,100B,1,Clg of Letters & Science,theater and performance studies
69,2017 Spring,2,Letters & Science,22,1,Clg of Letters & Science,theater and performance studies
70,2017 Spring,2,Letters & Science,70A,1,Clg of Letters & Science,theater and performance studies
71,2017 Spring,1,Letters & Science,70C,1,Clg of Letters & Science,theater and performance studies
72,2017 Spring,1,Letters & Science,105,1,Clg of Letters & Science,theater and performance studies
73,2017 Spring,1,Mathematics,32,1,Clg of Letters & Science,theater and performance studies
74,2017 Spring,1,Mathematics,54,2,Clg of Letters & Science,theater and performance studies
75,2017 Spring,1,Mathematics,114,1,Clg of Letters & Science,theater and performance studies
76,2017 Spring,1,Mathematics,153,1,Clg of Letters & Science,theater and performance studies
